Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Узбекской ж.д. (код дороги 73),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 73-001 ""ХОДЖАДАВЛЕТ (ЭКСП.) - БУХАРА I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ходжадавлет (эксп.),до ст. Бухара I,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тукимачи,до ст. Ангрен,,,,,,,,,,,
  1.,723600 .,Тукимачи,   0  км , 114  км ,,,,,,,,,,,
  2.,723526 .,ОП Ост. Пункт 3 км,   3  км , 111  км ,,,,,,,,,,,
  3.,723511 .,ОП Ост. Пункт 6 км,   6  км , 108  км ,,,,,,,,,,,
  4.,723507 .,Сергели,   8  км , 106  км ,,,,,,,,,,,
  5.,723403 .,Жалоир (рзд),  12  км , 102  км ,,,,,,,,,,,
  6.,723329 .,Разъезд № 134,  15  км ,  99  км ,,,,,,,,,,,
  7.,723314 .,ОП Ост. Пункт 22 км,  22  км ,  92  км ,,,,,,,,,,,
  8.,723307 .,Кучлук,  29  км ,  85  км ,,,,,,,,,,,
  9.,723206 .,Тойтепа,  41  км ,  73  км ,,,,,,,,,,,
 10.,723225 .,ОП Ост. Пункт 44 км,  44  км ,  70  км ,,,,,,,,,,,
 11.,723102 .,Озодлик,  56  км ,  58  км ,,,,,,,,,,,
 12.,723013 .,ОП Ост. Пункт 61 км,  61  км ,  53  км ,,,,,,,,,,,
 13.,723009 .,Ахангаран,  69  км ,  45  км ,,,,,,,,,,,
 14.,722839 .,ОП Ост. Пункт 76 км,  76  км ,  38  км ,,,,,,,,,,,
 15.,722824 .,Карахтай,  81  км ,  33  км ,,,,,,,,,,,
 16.,722816 .,ОП Ост. Пункт 85 км,  85  км ,  29  км ,,,,,,,,,,,
 17.,722805 .,Акча,  86  км ,  28  км ,,,,,,,,,,,
 18.,722716 .,ОП Ост. Пункт 96 км,  96  км ,  18  км ,,,,,,,,,,,
 19.,722701 .,Аблык, 104  км ,  10  км ,,,,,,,,,,,
 20.,722631 .,ОП Ост. Пункт 106 км, 106  км ,   8  км ,,,,,,,,,,,
 21.,722627 .,ОП Ост. Пункт 109 км, 109  км ,   5  км ,,,,,,,,,,,
 22.,722612 .,ОП Ост. Пункт 110 км, 110  км ,   4  км ,,,,,,,,,,,
 23.,722608 .,Ангрен, 114  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 18) участок 73-022 ""АХУНБАБАЕВА - КУВАСАЙ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ахунбабаева,до ст. Андижан I,,,,,,,,,,,
  1.,743209 .,Ахунбабаева,   0  км ,  62  км ,,,,,,,,,,,
  2.,742705 .,Киргили,   7  км ,  69  км ,,,,,,,,,,,
  3.,742809 .,Фергана II,  14  км ,  76  км ,,,,,,,,,,,
  4.,742902 .,Кувасай,  31  км ,  93  км ,,,,,,,,,,,
  5.,743002 .,Кувасай (эксп.),  39  км , 101  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 19) участок 73-023 ""СУЛТАНАБАД (ЭКСП.) - ХАНАБАД (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Султанабад (эксп.),до ст. Ханабад (эксп.),,,,,,,,,,,
  1.,744202 .,Султанабад (эксп.),   0  км ,  18  км ,,,,,,,,,,,
  2.,744019 .,Султанабад,   5  км ,  13  км ,,,,,,,,,,,
  3.,744024 .,ОП Ост. Пункт 388 км,   8  км ,  10  км ,,,,,,,,,,,
  4.,744109 .,Ханабад,  11  км ,   7  км ,,,,,,,,,,,
  5.,744113 .,ОП Ост. Пункт 395 км,  15  км ,   3  км ,,,,,,,,,,,
  6.,744404 .,Ханабад (эксп.),  18  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 20) участок 73-024 ""АНДИЖАН I - САВАЙ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Андижан I,до ст. Савай (эксп.),,,,,,,,,,,
  1.,743604 .,Андижан I,   0  км ,  49  км ,,,,,,,,,,,
  2.,743676 .,ОП Ост. Пункт 331 км,   5  км ,  44  км ,,,,,,,,,,,
  3.,743619 .,ОП Ост. Пункт 334 км,   8  км ,  41  км ,,,,,,,,,,,
  4.,743623 .,Янги Андижан,  12  км ,  37  км ,,,,,,,,,,,
  5.,743638 .,ОП Ост. Пункт 342 км,  16  км ,  33  км ,,,,,,,,,,,
  6.,743642 .,ОП Ост. Пункт 344 км,  18  км ,  31  км ,,,,,,,,,,,
  7.,743657 .,ОП Ост. Пункт 348 км,  22  км ,  27  км ,,,,,,,,,,,
