Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Восточно-Сибирской ж.д. (код дороги 92),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 92-001 ""ТАЙШЕТ - ИРКУТСК-ПАССАЖИРСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тайшет,до ст. Иркутск-Пассажирский,,,,,,,,,,,
107.,930663 .,ОП Золотухино, 510  км , 160  км ,,,,,,,,,,,
108.,930625 .,Забитуй, 517  км , 153  км ,,,,,,,,,,,
109.,930638 .,ОП Ноты, 522  км , 148  км ,,,,,,,,,,,
110.,930644 .,ОП Трактовый, 526  км , 144  км ,,,,,,,,,,,
111.,930659 .,ОП Осинцево, 530  км , 140  км ,,,,,,,,,,,
112.,930818 .,ОП Жаргон, 534  км , 136  км ,,,,,,,,,,,
113.,931469 .,ОП Производственная База, 538  км , 132  км ,,,,,,,,,,,
114.,930907 .,Черемхово, 539  км , 131  км ,,,,,,,,,,,
115.,930979 .,ОП Рудоремонтный завод, 543  км , 127  км ,,,,,,,,,,,
116.,931312 .,Гришево, 546  км , 124  км ,,,,,,,,,,,
117.,931401 .,Касьяновка, 551  км , 119  км ,,,,,,,,,,,
118.,931416 .,ОП Ост. Пункт 5068 км, 553  км , 117  км ,,,,,,,,,,,
119.,931420 .,ОП Восточная, 555  км , 115  км ,,,,,,,,,,,
120.,931448 .,ОП Витух, 559  км , 111  км ,,,,,,,,,,,
121.,931435 .,ОП Черепановка, 562  км , 108  км ,,,,,,,,,,,
122.,931505 .,Половина, 566  км , 104  км ,,,,,,,,,,,
123.,931514 .,ОП Заимка, 572  км ,  98  км ,,,,,,,,,,,
124.,931524 .,ОП Ткаченко, 577  км ,  93  км ,,,,,,,,,,,
125.,931609 .,Белая, 583  км ,  87  км ,,,,,,,,,,,
126.,931613 .,ОП Бытовик, 585  км ,  85  км ,,,,,,,,,,,
127.,931702 .,Мальта, 589  км ,  81  км ,,,,,,,,,,,
128.,931717 .,ОП Мальтинка, 594  км ,  76  км ,,,,,,,,,,,
129.,931721 .,ОП Лужки, 596  км ,  74  км ,,,,,,,,,,,
130.,931736 .,ОП Зеленый Городок, 599  км ,  71  км ,,,,,,,,,,,
131.,931806 .,Усолье-Сибирское, 602  км ,  68  км ,,,,,,,,,,,
132.,931810 .,ОП Тельминка, 607  км ,  63  км ,,,,,,,,,,,
133.,931900 .,Тельма, 611  км ,  59  км ,,,,,,,,,,,
134.,931929 .,ОП Путейская, 617  км ,  53  км ,,,,,,,,,,,
135.,931914 .,ОП Биликтуй, 621  км ,  49  км ,,,,,,,,,,,
136.,932005 .,Китой, 624  км ,  46  км ,,,,,,,,,,,
137.,932014 .,ОП Майск, 627  км ,  43  км ,,,,,,,,,,,
138.,932029 .,Ангарск, 630  км ,  40  км ,,,,,,,,,,,
139.,932033 .,ОП Южная, 632  км ,  38  км ,,,,,,,,,,,
140.,932207 .,Суховская, 636  км ,  34  км ,,,,,,,,,,,
141.,932211 .,ОП Совхозная, 639  км ,  31  км ,,,,,,,,,,,
142.,932226 .,ОП Карьер, 643  км ,  27  км ,,,,,,,,,,,
143.,932508 .,Мегет, 648  км ,  22  км ,,,,,,,,,,,
144.,932512 .,ОП Вересовка, 651  км ,  19  км ,,,,,,,,,,,
145.,932599 .,ОП ПМС-45, 653  км ,  17  км ,,,,,,,,,,,
146.,932601 .,Батарейная, 655  км ,  15  км ,,,,,,,,,,,
147.,932616 .,ОП Горка, 657  км ,  13  км ,,,,,,,,,,,
148.,932620 .,ОП Компрессорная, 659  км ,  11  км ,,,,,,,,,,,
149.,932635 .,ОП Заводская, 661  км ,   9  км ,,,,,,,,,,,
150.,930004 .,Иркутск-Сортировочный, 662  км ,   8  км ,,,,,,,,,,,
151.,932705 .,Военный Городок, 666  км ,   4  км ,,,,,,,,,,,
152.,932710 .,ОП Иркутный Мост, 668  км ,   2  км ,,,,,,,,,,,
153.,930108 .,Иркутск-Пассажирский, 670  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 92-002 ""ИРКУТСК-ПАССАЖИРСКИЙ - УЛАН-УДЭ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Иркутск-Пассажирский,до ст. Улан-Удэ,,,,,,,,,,,
  1.,930108 .,Иркутск-Пассажирский,   0  км , 456  км ,,,,,,,,,,,
  2.,930112 .,ОП Академическая,   3  км , 453  км ,,,,,,,,,,,
  3.,930127 .,ОП Мельниково,   5  км , 451  км ,,,,,,,,,,,
  4.,932809 .,Кая,   7  км , 449  км ,,,,,,,,,,,
  5.,932847 .,ОП Черемушки,  11  км , 445  км ,,,,,,,,,,,
  6.,932813 .,ОП Смоленщина,  13  км , 443  км ,,,,,,,,,,,
  7.,932828 .,ОП Турбаза,  15  км , 441  км ,,,,,,,,,,,
  8.,932832 .,ОП Шелехов,  17  км , 439  км ,,,,,,,,,,,
  9.,932902 .,Гончарово,  20  км , 436  км ,,,,,,,,,,,
 10.,932917 .,ОП Известковая,  22  км , 434  км ,,,,,,,,,,,
 11.,932921 .,ОП Олха,  24  км , 432  км ,,,,,,,,,,,
 12.,932936 .,ОП Летняя,  27  км , 429  км ,,,,,,,,,,,
 13.,932955 .,ОП Голубые Ели,  29  км , 427  км ,,,,,,,,,,,
 14.,932940 .,ОП Дачная,  31  км , 425  км ,,,,,,,,,,,
 15.,932962 .,ОП Садовая,  33  км , 423  км ,,,,,,,,,,,
 16.,933002 .,Большой Луг,  37  км , 419  км ,,,,,,,,,,,
 17.,933017 .,ОП Ханчин,  41  км , 415  км ,,,,,,,,,,,
 18.,933021 .,ОП Рассоха,  44  км , 412  км ,,,,,,,,,,,
 19.,933036 .,ОП Орленок,  46  км , 410  км ,,,,,,,,,,,
 20.,932974 .,ОП Малая Ольха,  48  км , 408  км ,,,,,,,,,,,
 21.,933040 .,ОП Ягодный,  49  км , 407  км ,,,,,,,,,,,
 22.,933055 .,ОП Огоньки,  51  км , 405  км ,,,,,,,,,,,
 23.,933068 .,ОП Таежное,  53  км , 403  км ,,,,,,,,,,,
 24.,933074 .,ОП Трудный,  55  км , 401  км ,,,,,,,,,,,
 25.,933089 .,ОП Медвежий,  57  км , 399  км ,,,,,,,,,,,
 26.,933159 .,ОП Сосновый,  59  км , 397  км ,,,,,,,,,,,
 27.,933093 .,Подкаменная,  63  км , 393  км ,,,,,,,,,,,
 28.,933110 .,ОП Санаторный,  66  км , 390  км ,,,,,,,,,,,
 29.,933197 .,ОП Родниковый,  69  км , 387  км ,,,,,,,,,,,
 30.,933163 .,ОП Источник,  71  км , 385  км ,,,,,,,,,,,
 31.,933125 .,Глубокая,  76  км , 380  км ,,,,,,,,,,,
 32.,933134 .,ОП Переезд,  85  км , 371  км ,,,,,,,,,,,
 33.,933144 .,Андриановская,  88  км , 368  км ,,,,,,,,,,,
 34.,933200 .,Ангасолка,  99  км , 357  км ,,,,,,,,,,,
 35.,933182 .,ОП Поворот, 101  км , 355  км ,,,,,,,,,,,
 36.,933248 .,ОП Темная Падь, 105  км , 351  км ,,,,,,,,,,,
 37.,933252 .,ОП Земляничный, 110  км , 346  км ,,,,,,,,,,,
 38.,933267 .,ОП Партизанская, 113  км , 343  км ,,,,,,,,,,,
 39.,933229 .,ОП Чертова Гора, 115  км , 341  км ,,,,,,,,,,,
 40.,933271 .,ОП Вербный, 118  км , 338  км ,,,,,,,,,,,
 41.,933106 .,Слюдянка II, 121  км , 335  км ,,,,,,,,,,,
 42.,933178 .,ОП Пляж Шаманка, 123  км , 333  км ,,,,,,,,,,,
 43.,933303 .,Слюдянка I, 126  км , 330  км ,,,,,,,,,,,
 44.,933318 .,ОП Рыбзавод, 129  км , 327  км ,,,,,,,,,,,
 45.,933356 .,ОП Садовая, 133  км , 323  км ,,,,,,,,,,,
 46.,933322 .,ОП Буравщина, 134  км , 322  км ,,,,,,,,,,,
 47.,933360 .,ОП Муравей, 137  км , 319  км ,,,,,,,,,,,
 48.,933337 .,ОП Мангутай, 141  км , 315  км ,,,,,,,,,,,
 49.,933341 .,ОП Ореховая Падь, 149  км , 307  км ,,,,,,,,,,,
 50.,933750 .,Утулик, 154  км , 302  км ,,,,,,,,,,,
 51.,933712 .,ОП Бабха, 157  км , 299  км ,,,,,,,,,,,
 52.,933727 .,ОП Байкальск-Пригородный, 160  км , 296  км ,,,,,,,,,,,
 53.,933731 .,ОП БЦБК, 162  км , 294  км ,,,,,,,,,,,
 54.,933746 .,ОП Промплощадка, 163  км , 293  км ,,,,,,,,,,,
 55.,933801 .,Байкальск, 167  км , 289  км ,,,,,,,,,,,
 56.,933835 .,ОП Ширингайха, 177  км , 279  км ,,,,,,,,,,,
 57.,933820 .,ОП Мурино, 180  км , 276  км ,,,,,,,,,,,
 58.,933915 .,ОП Недоступный, 184  км , 272  км ,,,,,,,,,,,
 59.,933939 .,ОП Паньковка II, 189  км , 267  км ,,,,,,,,,,,
 60.,934005 .,Выдрино, 198  км , 258  км ,,,,,,,,,,,
 61.,934024 .,ОП Толбазиха, 202  км , 254  км ,,,,,,,,,,,
 62.,934039 .,ОП Мамай, 207  км , 249  км ,,,,,,,,,,,
 63.,934010 .,ОП Речка-Выдрино, 214  км , 242  км ,,,,,,,,,,,
 64.,934185 .,Кедровая-Сибирская, 220  км , 236  км ,,,,,,,,,,,
