Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список МОРСКИХ портов, производящих ПЕРЕВАЛКУ грузов с железных дорог на морской транспорт и обратно",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Пароходство,ж.д. Станция,Дорога,Расстояния до ТП,,,,,,,,,,,,,,
   83.,Мурманск,"§ 1, 7",,018409  Мурманск,01  Окт (Р),,,,,,,,,,,,,,,
   84.,Мууга,"§ 1, 7",,081807  Мууга,08  Эст,,,,,,,,,,,,,,,
   85.,Мууга,"§ 1, 7",,082104  Маарду,08  Эст,,,,,,,,,,,,,,,
   86.,Находка,"§ 1, 7",,985609  Мыс Астафьева,96  Д-Вост (Р),Находка (984502) - 21 км,,,,,,,,,,,,,,
   87.,Находка,"§ 1, 7",,984502  Находка,96  Д-Вост (Р),,,,,,,,,,,,,,,
   88.,Находка ОАО Терминал,§ 1,-,984502  Находка,96  Д-Вост (Р),,,,,,,,,,,,,,,
,Астафьева,,,,,,,,,,,,,,,,,,,
   89.,Находка ОАО Терминал,§ 1,-,985609  Мыс Астафьева,96  Д-Вост (Р),Находка (984502) - 21 км,,,,,,,,,,,,,,
,Астафьева,,,,,,,,,,,,,,,,,,,
   90.,Находка ОАО Терминал,"§ 1,7",-,985401  Крабовая,96  Д-Вост (Р),Находка (984502) - 18 км,,,,,,,,,,,,,,
,Астафьева,,,,,,,,,,,,,,,,,,,
   91.,Находка ООО Сухой порт,"§ 1, 7",-,984502  Находка,96  Д-Вост (Р),,,,,,,,,,,,,,,
,Находка,,,,,,,,,,,,,,,,,,,
   92.,Невельск,"§1, 7",,993107  Невельск,96  Д-Вост (Р),"Корсаков (990005) - 352 км, Холмск (993304) - 47 км",,,,,,,,,,,,,,
   93.,Николаев,§ 1,ГАМРТУ,415103  Николаев,40  Од (У),,,,,,,,,,,,,,,
   94.,Новороссийск,"§ 1, 7",,520901  Новороссийск,51  С-Кав (Р),,,,,,,,,,,,,,,
   95.,Новороссийск ООО Апрель,"§ 1, 7",-,520901  Новороссийск,51  С-Кав (Р),,,,,,,,,,,,,,,
   96.,Новороссийск ООО,§ 7,,520901  Новороссийск,51  С-Кав (Р),,,,,,,,,,,,,,,
,ИНМОРТЕРМИНАЛ,,,,,,,,,,,,,,,,,,,
   97.,Новороссийск ООО ЛТБ,"§ 1, 7",,520901  Новороссийск,51  С-Кав (Р),,,,,,,,,,,,,,,
   98.,Новороссийск ООО НПК,"§ 1, 7",-,520901  Новороссийск,51  С-Кав (Р),,,,,,,,,,,,,,,
   99.,Новороссийск ООО,7,-,521302  Гайдук,51  С-Кав (Р),"Крымская (521603) - 40 км, Новороссийск (520901) - 9 км",,,,,,,,,,,,,,
,ТрансКонСервис,,,,,,,,,,,,,,,,,,,
  100.,"Новороссийск, ЗАО","§ 1, 7",,520901  Новороссийск,51  С-Кав (Р),,,,,,,,,,,,,,,
,"""Зерновой терминал ""КСК""",,,,,,,,,,,,,,,,,,,
  101.,ОАО Владивостокский,"§ 1, 7",-,982102  Угольная,96  Д-Вост (Р),"Владивосток (980003) - 33 км, Угловая (982206) - 8 км, Надеждинская (986508) - 11 км",,,,,,,,,,,,,,
,морской рыбный порт,,,,,,,,,,,,,,,,,,,
  102.,ОАО Калининградский,"§ 1, 7",,100001  Калининград-,10  Клг (Р),,,,,,,,,,,,,,,
,морской торговый порт,,,Сортировочный,,,,,,,,,,,,,,,,
  103.,ОАО Морской порт в бухте,"§ 1, 7",,987303  Сухановка,96  Д-Вост (Р),"Хасан (эксп.) (987106) - 75 км, Барановский (988402) - 164 км",,,,,,,,,,,,,,
,Троицы,,,,,,,,,,,,,,,,,,,
  104.,ОАО Находкинский морской,"§ 1, 7",,985308  Рыбники,96  Д-Вост (Р),Находка (984502) - 14 км,,,,,,,,,,,,,,
,рыбный порт,,,,,,,,,,,,,,,,,,,
  105.,ОАО Первомайский,"§ 1, 7",,980802  Мыс-Чуркин,96  Д-Вост (Р),Владивосток (980003) - 9 км,,,,,,,,,,,,,,
,судоремонтный завод (ООО Владивостокский морской порт Первомайский,,,,,,,,,,,,,,,,,,,
  106.,Одесса,"§1, 7",ГАМРТУ,400305  Одесса-Порт,40  Од (У),,,,,,,,,,,,,,,
  107.,Октябрьский,§ 1,ГАМРТУ,415103  Николаев,40  Од (У),,,,,,,,,,,,,,,
  108.,Оля,"§ 1, 7",,541700  Зензели,61  Прив (Р),"Кизилюрт (542807) - 321 км, Аксарайская (617505) - 158 км",,,,,,,,,,,,,,
  109.,Оля,§ 3,,541503  Яндыки,61  Прив (Р),"Кизилюрт (542807) - 308 км, Аксарайская (617505) - 171 км",,,,,,,,,,,,,,
  110.,Оля,"§ 1, 7",,616409  Трусово,61  Прив (Р),"Кизилюрт (542807) - 416 км, Аксарайская (617505) - 63 км",,,,,,,,,,,,,,
  111.,ООО Владивостокский,"§ 1, 7",,980003  Владивосток,96  Д-Вост (Р),,,,,,,,,,,,,,,
,контейнерный терминал,,,,,,,,,,,,,,,,,,,
  112.,ООО Востоморсервис,"§ 1, 7",,980802  Мыс-Чуркин,96  Д-Вост (Р),Владивосток (980003) - 9 км,,,,,,,,,,,,,,
  113.,ООО Восточная Стивидорная,"§ 1, 7",,985906  Находка-Восточная,96  Д-Вост (Р),"Угловая (982206) - 182 км, Находка (984502) - 18 км",,,,,,,,,,,,,,
,Компания,,,,,,,,,,,,,,,,,,,
  114.,ООО ПАД,"§ 1, 7",,520901  Новороссийск,51  С-Кав (Р),,,,,,,,,,,,,,,
  115.,ООО Порт Логистик,"§ 1, 6",-,020004  Выборг,01  Окт (Р),,,,,,,,,,,,,,,
  116.,ООО Терминал-А,"§ 1, 7",,520901  Новороссийск,51  С-Кав (Р),,,,,,,,,,,,,,,
  117.,ООО ЮГ ТЕРМИНАЛ,"§ 1, 7",,520901  Новороссийск,51  С-Кав (Р),,,,,,,,,,,,,,,
  118.,Пальяссааре,"§ 1, 7",,082000  Юлемисте,08  Эст,,,,,,,,,,,,,,,
  119.,ПАО НСРЗ,1,,984502  Находка,96  Д-Вост (Р),,,,,,,,,,,,,,,
  120.,ПАО НСРЗ,1,,984201  Тихоокеанская,96  Д-Вост (Р),Находка (984502) - 10 км,,,,,,,,,,,,,,
  121.,Петролеспорт,"§ 1, 7",,035809  Новый Порт,01  Окт (Р),Санкт-Петербургский узел (000023) - 0 км,,,,,,,,,,,,,,
  122.,Порт Астрахань ООО,§ 1,,616409  Трусово,61  Прив (Р),"Кизилюрт (542807) - 416 км, Аксарайская (617505) - 63 км",,,,,,,,,,,,,,
,"""Терминал Ильинка""",,,,,,,,,,,,,,,,,,,
  123.,Посьет,"§ 1, 7",,987708  Посьет,96  Д-Вост (Р),"Хасан (эксп.) (987106) - 68 км, Барановский (988402) - 195 км",,,,,,,,,,,,,,
  124.,Посьет ООО СЛТ,"§ 1,7",-,987905  Блюхер,96  Д-Вост (Р),"Хасан (эксп.) (987106) - 127 км, Барановский (988402) - 138 км",,,,,,,,,,,,,,
  125.,Поти,"§ 1, 7",Грузинское,572107  Поти,57  Грз,,,,,,,,,,,,,,,
  126.,Рени,§ 1,ГАМРТУ,404700  Рени,40  Од (У),,,,,,,,,,,,,,,
