Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Донецкой ж.д. (код дороги 48),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 48-001 ""ЧАПЛИНО (Приднепровской ж.д.) - ПОКРОВСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чаплино,до ст. Покровск,,,,,,,,,,,
  2.,480418 .,ОП Кварцитный,   5  км ,   5  км ,,,,,,,,,,,
  3.,480507 .,Рутченково,  10  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 19) участок 48-019 ""ДОНЕЦК - АВДЕЕВКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Донецк,до ст. Авдеевка,,,,,,,,,,,
  1.,480403 .,Донецк,   0  км ,  14  км ,,,,,,,,,,,
  2.,480422 .,ОП Ост. Пункт 11 км,   3  км ,  11  км ,,,,,,,,,,,
  3.,480456 .,ОП РЭД,   5  км ,   9  км ,,,,,,,,,,,
  4.,480437 .,Разъезд 7 км,   6  км ,   8  км ,,,,,,,,,,,
  5.,480121 .,ОП Ост. Пункт 447 км,  11  км ,   3  км ,,,,,,,,,,,
  6.,480441 .,Разъезд 2 км,  12  км ,   2  км ,,,,,,,,,,,
  7.,480136 .,ОП Ост. Пункт 446 км,  13  км ,   1  км ,,,,,,,,,,,
  8.,482803 .,Авдеевка,  14  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 20) участок 48-020 ""АВДЕЕВКА - ЯСИНОВАТАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Авдеевка,до ст. Ясиноватая,,,,,,,,,,,
  1.,482803 .,Авдеевка,   0  км ,  14  км ,,,,,,,,,,,
  2.,480136 .,ОП Ост. Пункт 446 км,   1  км ,  13  км ,,,,,,,,,,,
  3.,480121 .,ОП Ост. Пункт 447 км,   3  км ,  11  км ,,,,,,,,,,,
  4.,480117 .,ОП Ост. Пункт 450 км,   8  км ,   6  км ,,,,,,,,,,,
  5.,480047 .,ОП Ост. Пункт 454 км,  10  км ,   4  км ,,,,,,,,,,,
  6.,480032 .,Ясиноватая-Пассажирская,  12  км ,   2  км ,,,,,,,,,,,
  7.,480028 .,ОП Ясиноватая Горка,  13  км ,   1  км ,,,,,,,,,,,
  8.,480009 .,Ясиноватая,  14  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 21) участок 48-021 ""АВДЕЕВКА - ОЧЕРЕТИНО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Авдеевка,до ст. Очеретино,,,,,,,,,,,
  1.,482803 .,Авдеевка,   0  км ,  14  км ,,,,,,,,,,,
  2.,482748 .,ОП Химик,   2  км ,  12  км ,,,,,,,,,,,
  3.,482733 .,ОП Ост. Пункт 437 км,   8  км ,   6  км ,,,,,,,,,,,
  4.,482729 .,ОП Ост. Пункт 433 км,  10  км ,   4  км ,,,,,,,,,,,
  5.,482714 .,ОП Ост. Пункт 432 км,  11  км ,   3  км ,,,,,,,,,,,
  6.,482708 .,Очеретино,  14  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 22) участок 48-022 ""ОЧЕРЕТИНО - ГОРЛОВКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Очеретино,до ст. Горловка,,,,,,,,,,,
  1.,482708 .,Очеретино,   0  км ,  41  км ,,,,,,,,,,,
  2.,483026 .,ОП Ост. пункт 10 км,   9  км ,  32  км ,,,,,,,,,,,
  3.,482752 .,ОП Борцы,  11  км ,  30  км ,,,,,,,,,,,
  4.,483030 .,ОП Ост. пункт 16 км,  15  км ,  26  км ,,,,,,,,,,,
  5.,482767 .,ОП Ост. Пункт 19 км,  18  км ,  23  км ,,,,,,,,,,,
  6.,482771 .,Новобахмутовка,  21  км ,  20  км ,,,,,,,,,,,
  7.,482786 .,ОП Батманка,  29  км ,  12  км ,,,,,,,,,,,
  8.,483007 .,Горловка,  41  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 23) участок 48-023 ""ГОРЛОВКА - НИКИТОВКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Горловка,до ст. Никитовка,,,,,,,,,,,
  1.,483007 .,Горловка,   0  км ,   6  км ,,,,,,,,,,,
  2.,493901 .,Никитовка,   6  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 24) участок 48-024 ""НИКИТОВКА - КОНСТАНТИНОВКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Никитовка,до ст. Константиновка,,,,,,,,,,,
  1.,493901 .,Никитовка,   0  км ,  29  км ,,,,,,,,,,,
  2.,491111 .,ОП Терриконная,   2  км ,  27  км ,,,,,,,,,,,
  3.,491107 .,Магдалиновка,  10  км ,  19  км ,,,,,,,,,,,
  4.,491126 .,ОП Ост. Пункт 1093 км,  13  км ,  16  км ,,,,,,,,,,,
  5.,491130 .,Дылеевка,  16  км ,  13  км ,,,,,,,,,,,
  6.,491145 .,ОП Ост. Пункт 1086 км,  21  км ,   8  км ,,,,,,,,,,,
  7.,491156 .,ОП Ост. Пункт 1082 км,  25  км ,   4  км ,,,,,,,,,,,
  8.,491200 .,Константиновка,  29  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 25) участок 48-025 ""КОНСТАНТИНОВКА - ЯСИНОВАТАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Константиновка,до ст. Ясиноватая,,,,,,,,,,,
