Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южно-Уральской ж.д. (код дороги 80),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 80-001 ""КРОПАЧЕВО - БЕРДЯУШ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кропачево,до ст. Бердяуш,,,,,,,,,,,
 18.,829400 .,Щучье,  79  км , 170  км ,,,,,,,,,,,
 19.,829364 .,ОП Тукманка,  90  км , 159  км ,,,,,,,,,,,
 20.,829359 .,ОП Клюквенная,  94  км , 155  км ,,,,,,,,,,,
 21.,829345 .,Чистое (обп), 100  км , 149  км ,,,,,,,,,,,
 22.,829330 .,ОП Ост. Пункт 2214 км, 104  км , 145  км ,,,,,,,,,,,
 23.,829326 .,ОП Ост. Пункт 2216 км, 106  км , 143  км ,,,,,,,,,,,
 24.,829311 .,ОП Малое Дюрягино, 111  км , 138  км ,,,,,,,,,,,
 25.,829307 .,Шумиха, 116  км , 133  км ,,,,,,,,,,,
 26.,829256 .,ОП Ост. Пункт 2230 км, 120  км , 129  км ,,,,,,,,,,,
 27.,829294 .,ОП Ост. Пункт 2233 км, 123  км , 126  км ,,,,,,,,,,,
 28.,829237 .,ОП Хохлы, 124  км , 125  км ,,,,,,,,,,,
 29.,829282 .,ОП Пристанционный, 130  км , 119  км ,,,,,,,,,,,
 30.,829222 .,Бутырское (обп), 138  км , 111  км ,,,,,,,,,,,
 31.,829275 .,ОП Ост. Пункт 2251 км, 141  км , 108  км ,,,,,,,,,,,
 32.,829241 .,ОП Ост. Пункт 2257 км, 147  км , 102  км ,,,,,,,,,,,
 33.,829218 .,ОП Варюшкино, 150  км ,  99  км ,,,,,,,,,,,
 34.,829203 .,Мишкино, 158  км ,  91  км ,,,,,,,,,,,
 35.,829133 .,ОП Ост. Пункт 2278 км, 168  км ,  81  км ,,,,,,,,,,,
 36.,829129 .,Сладкое (обп), 172  км ,  77  км ,,,,,,,,,,,
 37.,829114 .,ОП Ост. Пункт 2299 км, 189  км ,  60  км ,,,,,,,,,,,
 38.,829106 .,Юргамыш, 192  км ,  57  км ,,,,,,,,,,,
 39.,829059 .,ОП Ост. Пункт 2308 км, 198  км ,  51  км ,,,,,,,,,,,
 40.,829010 .,ОП Ост. Пункт 2315 км, 205  км ,  44  км ,,,,,,,,,,,
 41.,829006 .,Зырянка, 211  км ,  38  км ,,,,,,,,,,,
 42.,818660 .,ОП Ост. Пункт 2324 км, 214  км ,  35  км ,,,,,,,,,,,
 43.,818641 .,ОП Ост. Пункт 2327 км, 217  км ,  32  км ,,,,,,,,,,,
 44.,828934 .,Логовушка (обп), 222  км ,  27  км ,,,,,,,,,,,
 45.,828925 .,ОП Ост. Пункт 2335 км, 225  км ,  24  км ,,,,,,,,,,,
 46.,828910 .,ОП Вихорь, 230  км ,  19  км ,,,,,,,,,,,
 47.,828906 .,Введенское, 235  км ,  14  км ,,,,,,,,,,,
 48.,828874 .,ОП Ост. Пункт 2347 км, 237  км ,  12  км ,,,,,,,,,,,
 49.,828821 .,ОП Ост. Пункт 2349 км, 239  км ,  10  км ,,,,,,,,,,,
 50.,828840 .,ОП Ост. Пункт 2350 км, 240  км ,   9  км ,,,,,,,,,,,
 51.,828817 .,ОП Затвор, 241  км ,   8  км ,,,,,,,,,,,
 52.,828554 .,ОП Курганка, 244  км ,   5  км ,,,,,,,,,,,
