Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список портов ВНУТРЕННЕГО ВОДНОГО транспорта, включённых в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Бассейн,Водоём,Операции,"Масса груза, т",,,,,,,,,,,,,,
  109.,Бирск,§4,,Белая,ОП,,,,,,,,,,,,,,,
  110.,Благовещение,"§1,4",,Северо-Двинская система,ОП,,,,,,,,,,,,,,,
  111.,Благовещенск,"§1,2,3,4,7",,Амур,ОП,10,,,,,,,,,,,,,,
  112.,Благовещенск,§4,,Белая,ОП,,,,,,,,,,,,,,,
  113.,Благословенное,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  114.,Бобруйск,"§1,2,3,4",,Березина,ОП,5,,,,,,,,,,,,,,
  115.,Богатырь,§4,,Волга,О,,,,,,,,,,,,,,,
  116.,Богородский Яр,§7,,Уфа,О,,,,,,,,,,,,,,,
  117.,Богородское,§4,,Амур,ОП,,,,,,,,,,,,,,,
  118.,Богучаны,"§3,4",,Ангара,ОП,,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
  119.,Болгары,§4,,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
  120.,Болотово,§4,,Веселовское водохранилище,ОП,,,,,,,,,,,,,,,
  121.,Болчары,"§4,5",,Конда,П,,,,,,,,,,,,,,,
  122.,Большая Волга,§4,,Канал имени Москвы,ОП,,,,,,,,,,,,,,,
  123.,Большеречье,"§3,4",,Иртыш,ОП,5,,,,,,,,,,,,,,
  124.,Бомнак,"§4,5",,Зея,П,,,,,,,,,,,,,,,
  125.,Бондюг,§4,,Кама,П,,,,,,,,,,,,,,,
  126.,Бор-Ленва,§4,,Камское водохранилище,П,,,,,,,,,,,,,,,
  127.,Борисов,§4,Верхнеднепровский,Березина,ОП,,,,,,,,,,,,,,,
  128.,Боровица,§7,,Вятка,О,,,,,,,,,,,,,,,
  129.,Боровицы,§4,,Луза,О,,,,,,,,,,,,,,,
  130.,Борок,§4,,Северная Двина,П,,,,,,,,,,,,,,,
  131.,Борохудзир,"§1,2",Илийское районное,Или,ОП,3,,,,,,,,,,,,,,
,,,управление речного флота,,,,,,,,,,,,,,,,,
  132.,Борщево,§4,,Дон,ОП,,,,,,,,,,,,,,,
  133.,Боты,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
  134.,Бочелово,§4,,Водла,О,,,,,,,,,,,,,,,
  135.,Боярка,"§4,7",,Кама,О,,,,,,,,,,,,,,,
  136.,Братск,"§2,4",,Братское водохранилище,П,,,,,,,,,,,,,,,
  137.,Брейтово,"§3,4",,Рыбинское водохранилище,ОП,5,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
  138.,Брест,"§1,2,3,4",Верхнеднепровский,Муховец,ОП,5,,,,,,,,,,,,,,
  139.,Брин-Наволок,"§1,4",,Северная Двина,П,,,,,,,,,,,,,,,
  140.,Броды,§4,,Березина,О,,,,,,,,,,,,,,,
  141.,Бронницы,§4,,Москва,ОП,,,,,,,,,,,,,,,
  142.,Брусенец,§4,,Сухона,ОП,,,,,,,,,,,,,,,
  143.,Брусяны,§4,,Волга,О,,,,,,,,,,,,,,,
  144.,Брыкаланск,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  145.,Брянка,"§4,5",,Большой Пит,П,,,,,,,,,,,,,,,
  146.,Бубыл,§4,,Колва,П,,,,,,,,,,,,,,,
  147.,Букановская,§4,,Дон,О,,,,,,,,,,,,,,,
  148.,Булатовская Старица,§4,,Кама,ОП,,,,,,,,,,,,,,,
  149.,Булыга,§4,,Колва,ОП,,,,,,,,,,,,,,,
  150.,Бульково,"§2,4",,Муховец,О,,,,,,,,,,,,,,,
  151.,Буран,"§2,3,4,5",Восточно-Казахстанский,Черный Иртыш,ОП,,,,,,,,,,,,,,,
  152.,Бургуста,§4,,Веселовское водохранилище,ОП,,,,,,,,,,,,,,,
  153.,Буссе,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  154.,Бутор,§7,Министерство транспорта и,Днестр,О,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  155.,Бухта-Ая,"§4,5",,оз. Байкал,ОП,,,,,,,,,,,,,,,
  156.,Бухта-Находка-Обская,"§4,5",,Обская губа,П,,,,,,,,,,,,,,,
,,Бухта-Находка-Обская открыта для операций по выдаче только каменного угля.,,,,,,,,,,,,,,,,,,
  157.,Бухтарма,§4,Восточно-Казахстанский,Бухтарминское водохранилище,ОП,,,,,,,,,,,,,,,
  158.,Бызовая,§7,,Печора,О,,,,,,,,,,,,,,,
  159.,Быков Мыс,"§4,5",,Быковская протока Лены,П,,,,,,,,,,,,,,,
  160.,Быково,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  161.,Быстренький,§7,,Волга,О,,,,,,,,,,,,,,,
  162.,Быстрый Исток,"§2,4",,Обь,ОП,,,,,,,,,,,,,,,
  163.,Ваду-Луй-Водэ,§7,Министерство транспорта и,Днестр,О,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  164.,Важины,§4,,Свирь,П,,,,,,,,,,,,,,,
  165.,Валдай,§4,,Выгозеро,ОП,,,,,,,,,,,,,,,
  166.,Валдома,§4,,Свирь,П,,,,,,,,,,,,,,,
  167.,Ванавары,"§4,5",,Подкаменная Тунгуска,П,,,,,,,,,,,,,,,
  168.,Вандовка,"§4,7",,Кама,ОП,,,,,,,,,,,,,,,
  169.,Вареж,§4,,Ока,ОП,,,,,,,,,,,,,,,
  170.,Варнавино,§4,,Ветлуга,О,,,,,,,,,,,,,,,
  171.,Варница,"§1,2,4,5",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  172.,Васильсурск,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  173.,Ватажка,"§3,4",,Ока,ОП,5,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
  174.,Велижная,"§4,7",,Чусовая,О,,,,,,,,,,,,,,,
  175.,Великая Губа,§4,,оз. Онежское,ОП,,,,,,,,,,,,,,,
  176.,Великий Враг,§4,,Волга,О,,,,,,,,,,,,,,,
  177.,Великий Устюг,"§1,2,3,4",,Сухона,ОП,5,,,,,,,,,,,,,,
  178.,Великовисоч-ная,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  179.,Велиона,§4,Нямунский,Нямунас,ОП,,,,,,,,,,,,,,,
  180.,Венцелево,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  181.,Вереговка,§4,,Унжа,П,,,,,,,,,,,,,,,
  182.,Вересники,§7,,Вятка,О,,,,,,,,,,,,,,,
  183.,Вертюжаны,§7,Министерство транспорта и,Днестр,О,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  184.,Верхневилюйск,"§4,5",,Вилюй,П,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Верхневилюйске грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  185.,Верхнее Заречье,§7,,Амур,О,,,,,,,,,,,,,,,
  186.,Верхнее Лебяжье,§4,,Волга,П,,,,,,,,,,,,,,,
  187.,Верхнеермаковский Яр,"§4,5",,Обь,П,5,,,,,,,,,,,,,,
  188.,Верхнеимбатское,"§4,5",,Енисей,П,,,,,,,,,,,,,,,
  189.,Верхнеколымск,"§4,6",,Колыма,О,,,,,,,,,,,,,,,
  190.,Верхнекуларки,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
  191.,Верхнечусовские Городки,§7,,Чусовая,О,,,,,,,,,,,,,,,
  192.,Верхний Бестях,"§4,5",,Лена,П,,,,,,,,,,,,,,,
  193.,Верхний Каникурган,§7,,Амур,О,,,,,,,,,,,,,,,
  194.,Верхний Мамон,§4,,Дон,ОП,,,,,,,,,,,,,,,
,,"Грузы, следующие назначением в Верхний Мамон и отправляемые с этой пристани, переваливаются с железной дороги на воду и с воды на железную дорогу только в порту Лиски.",,,,,,,,,,,,,,,,,,
  195.,Верхний Услон,§4,,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
  196.,Верхняя Мушкара,§7,,Кама,О,,,,,,,,,,,,,,,
  197.,Верхняя Старица,§4,,Кама,ОП,,,,,,,,,,,,,,,
  198.,Верхняя Тойма,"§1,3,4",,Северная Двина,ОП,5,,,,,,,,,,,,,,
  199.,Верхоянск,"§4,5,6",,Яна,П,,,,,,,,,,,,,,,
,,"Грузы, следующие в п. Верхоянск передаются в п. Нижнеянск на перевозку по р. Яна ОАО «Янское речное пароходство».",,,,,,,,,,,,,,,,,,
  200.,Веселый,§4,,Маныч,ОП,,,,,,,,,,,,,,,
  201.,Весьегонск,§4,,Рыбинское водохранилище,ОП,,,,,,,,,,,,,,,
  202.,Ветка,§4,,Сож,ОП,,,,,,,,,,,,,,,
  203.,Ветлан,§4,,Колва,П,,,,,,,,,,,,,,,
  204.,Вешенская,"§3,4",,Дон,ОП,5,,,,,,,,,,,,,,
  205.,Видное,"§4,5",,Уссури,П,,,,,,,,,,,,,,,
  206.,Визирный,"§4,5",,Лена,П,,,,,,,,,,,,,,,
  207.,Вильгорт,§4,,Колва,ОП,,,,,,,,,,,,,,,
  208.,Вилькия,§4,Нямунский,Нямунас,ОП,,,,,,,,,,,,,,,
  209.,Вильча,§4,Верхнеднепровский,Припять,О,,,,,,,,,,,,,,,
  210.,Вилюйск,"§4,5",,Вилюй,П,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Вилюйске грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  211.,Винновка,"§4,7",,Куйбышевское водохранилище,О,,,,,,,,,,,,,,,
  212.,Виноградовка,"§4,5",,Уссури,П,,,,,,,,,,,,,,,
  213.,Висим,§4,,Камское водохранилище,ОП,,,,,,,,,,,,,,,
  214.,Висячий Камень,§7,,Белая,О,,,,,,,,,,,,,,,
  215.,Витим,"§3,4",,Лена,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Витиме грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  216.,Вишкиль,§4,,Вятка,ОП,,,,,,,,,,,,,,,
