Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список портов ВНУТРЕННЕГО ВОДНОГО транспорта, включённых в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Бассейн,Водоём,Операции,"Масса груза, т",,,,,,,,,,,,,,
  867.,ООО Нижнекамская нефтебаза,"§ 1, 2, 3, 4",-,Кама,ОП,,,,,,,,,,,,,,,
,(стивидоры ЗАО Транскама ООО Нижнекамская нефтебаза),,,,,,,,,,,,,,,,,,,
  868.,ООО Средневолжский,"§ 3, 4",-,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
,нефтяной терминал (ООО СВНТ),,,,,,,,,,,,,,,,,,,
  869.,ООО Терминал Ленаречтранс,"§ 1, 2, 3, 4, 5, 6",,Лена,ОП,,,,,,,,,,,,,,,
  870.,Оранжерейное,§4,,Бахтемир,ОП,,,,,,,,,,,,,,,
  871.,Ордынское,"§4,5",,Новосибирское водохранилище,П,,,,,,,,,,,,,,,
  872.,Орел,"§1,4",,Камское водохранилище,ОП,,,,,,,,,,,,,,,
  873.,Орлецы,§4,,Северная Двина,П,,,,,,,,,,,,,,,
  874.,Оров-Губа,§4,,оз. Онежское,ОП,,,,,,,,,,,,,,,
  875.,Оса,"§1,3,4,7",,Воткинское водохранилище,ОП,5,,,,,,,,,,,,,,
  876.,Остров-Винновский,§7,,Волга,О,,,,,,,,,,,,,,,
  877.,Остров-Серный,§7,,Волга,О,,,,,,,,,,,,,,,
  878.,Остров-Тушинский,§7,,Волга,О,,,,,,,,,,,,,,,
  879.,Островки,§4,Верхнеднепровский,Сож,О,,,,,,,,,,,,,,,
  880.,Островная,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  881.,Островная,"§4,5",,Обь,П,,,,,,,,,,,,,,,
  882.,Осьмерыжск,§4,,Иртыш,ОП,,,,,,,,,,,,,,,
  883.,Отары,§4,,Вятка,ОП,,,,,,,,,,,,,,,
  884.,Отрадное,"§1,4",,Нева,ОП,,,,,,,,,,,,,,,
  885.,Оханск,"§1,3,4",,Воткинское водохранилище,ОП,3,,,,,,,,,,,,,,
  886.,Охлебинино,§4,,Белая,ОП,,,,,,,,,,,,,,,
  887.,Охтеурье,"§4,5",,Вах,ОП,,,,,,,,,,,,,,,
  888.,Павловка,§4,,Уфа,ОП,,,,,,,,,,,,,,,
  889.,Павлово,"§1,4",,Ока,ОП,,,,,,,,,,,,,,,
  890.,Павловск,"§3,4",,Дон,ОП,5,,,,,,,,,,,,,,
,,"Грузы, следующие назначением в Павловск и отправляемые с этой пристани, переваливаются с железной дороги на воду и с воды на железную дорогу только в порту Лиски.",,,,,,,,,,,,,,,,,,
  891.,Павловщина,"§4,5",,Енисей,П,,,,,,,,,,,,,,,
  892.,Павлодар,"§1,2,3,4",,Иртыш,ОП,10,,,,,,,,,,,,,,
  893.,Павшино,§4,,Москва,ОП,,,,,,,,,,,,,,,
  894.,Падь,§7,,Иртыш,О,,,,,,,,,,,,,,,
  895.,Падь Глубокая,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  896.,Паздеры,§7,,Кама,О,,,,,,,,,,,,,,,
  897.,Паланка,"§4,5",Министерство транспорта и,Днестр,П,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  898.,Палевицы,§4,,Вычегда,ОП,,,,,,,,,,,,,,,
  899.,Палема,§4,,Луза,О,,,,,,,,,,,,,,,
  900.,Память Парижской Коммуны,§4,,Волга,ОП,,,,,,,,,,,,,,,
  901.,Панинская Курья,§4,,Кама,П,,,,,,,,,,,,,,,
  902.,Паньшино,"§2,4",,Волга,О,,,,,,,,,,,,,,,
  903.,Парабель,§4,,Обь,ОП,,,,,,,,,,,,,,,
  904.,Паричи,§4,,Березина,ОП,,,,,,,,,,,,,,,
  905.,Парк Культуры и Отдыха,§7,,Волга,О,,,,,,,,,,,,,,,
  906.,Пашково,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  907.,Пезмог,"§3,4",,Вычегда,ОП,3,,,,,,,,,,,,,,
  908.,Пеледуй,"§3,4,5",,Лена,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Пеледуе грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  909.,Пелик,§4,Верхнеднепровский,Березина,О,,,,,,,,,,,,,,,
  910.,Пентег,§4,,Кама,П,,,,,,,,,,,,,,,
  911.,Первомайка,§4,,Унжа,О,,,,,,,,,,,,,,,
  912.,Первомайская,§4,,Волга,ОП,,,,,,,,,,,,,,,
  913.,Перевоз,"§4,5",,Жуя,П,,,,,,,,,,,,,,,
  914.,Перегребное,"§4,5",,Обь,П,,,,,,,,,,,,,,,
  915.,Перекопская,§4,,Дон,О,,,,,,,,,,,,,,,
  916.,Пермогорье,§4,,Северная Двина,П,,,,,,,,,,,,,,,
  917.,Пермь,"§1,2,3,4,7",,Воткинское водохранилище,ОП,100,,,,,,,,,,,,,,
  918.,Перское,§7,,Зея,О,,,,,,,,,,,,,,,
  919.,Песочное,§4,,Волга,ОП,,,,,,,,,,,,,,,
  920.,Песчанка,"§1,2,3,4,7",Восточно-Казахстанский,Бухтарминское водохранилище,ОП,3,,,,,,,,,,,,,,
  921.,Песчаный Остров,§7,,Куйбышевское водохранилище,О,,,,,,,,,,,,,,,
  922.,Петриков,§4,Верхнеднепровский,Припять,ОП,,,,,,,,,,,,,,,
  923.,Петровский Ям,§4,,Выгозеро,ОП,,,,,,,,,,,,,,,
  924.,Петровское,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  925.,Петрозаводск,"§1,2,3, 4,7",,оз. Онежское,ОП,10,,,,,,,,,,,,,,
  926.,Петрокрепость,§4,,Нева,ОП,,,,,,,,,,,,,,,
  927.,Печаткино,"§1,4",,Сухона,ОП,,,,,,,,,,,,,,,
  928.,Печищи,§4,,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
  929.,Печора,"§1,2,3,4",,Печора,ОП,10,,,,,,,,,,,,,,
  930.,Печорское,§4,,Волга,О,,,,,,,,,,,,,,,
  931.,Пешной,§2,,Урал,ОП,3,,,,,,,,,,,,,,
  932.,Пильмен-Бор,§4,,Весляна,П,,,,,,,,,,,,,,,
  933.,Пингиш,"§1,4",,Северная Двина,П,,,,,,,,,,,,,,,
  934.,Пинега,§4,,Пинега,О,,,,,,,,,,,,,,,
  935.,Пинск,"§1,2,4",,Пина,ОП,,,,,,,,,,,,,,,
  936.,Пискуново,"§4,5",,Енисей,П,,,,,,,,,,,,,,,
  937.,Питкяранта,§4,,оз. Ладожское,О,,,,,,,,,,,,,,,
  938.,Плес,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  939.,Плес,§7,,Чусовая,О,,,,,,,,,,,,,,,
  940.,Плотбище-Лиз,§4,,Кама,ОП,,,,,,,,,,,,,,,
  941.,Погребы,§7,Министерство транспорта и,Днестр,О,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  942.,Подбаза,"§4,5",,Пур,П,,,,,,,,,,,,,,,
  943.,Подвалье,§4,,Волга,О,,,,,,,,,,,,,,,
  944.,Подвалье,§4,,Ветлуга,О,,,,,,,,,,,,,,,
  945.,Подгорное,"§4,5",,Чая,ОП,,,,,,,,,,,,,,,
  946.,Подгоры,§7,,Волга,О,,,,,,,,,,,,,,,
  947.,Поджабный Затон,§7,,Волга,О,,,,,,,,,,,,,,,
  948.,Подкаменная Тунгуска,"§4,5",,Енисей,П,,,,,,,,,,,,,,,
  949.,Подколодновка,§4,,Дон,О,,,,,,,,,,,,,,,
  950.,Подосиновец,§4,,Юг,О,,,,,,,,,,,,,,,
  951.,Подпорожье,"§2,4",,Свирь,ОП,16,,,,,,,,,,,,,,
  952.,Подпорожье (Пудож),"§3,4",,Водла,ОП,5,,,,,,,,,,,,,,
  953.,Подтесово,"§3,4,5",,Енисей,П,5,,,,,,,,,,,,,,
  954.,Подчерье,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  955.,Пожва,"§1,4",,Камское водохранилище,ОП,,,,,,,,,,,,,,,
  956.,Покачи,"§4,5",,Аган,П,,,,,,,,,,,,,,,
  957.,Покровка,"§1,2,3,4,5,7",Иссык-Кульский,оз. Иссык-Куль,ОП,5,,,,,,,,,,,,,,
  958.,Покровка,§4,,Дон,П,,,,,,,,,,,,,,,
  959.,Покровка,"§4,5",,Амга,П,,,,,,,,,,,,,,,
  960.,Покровка (на Верхнем,"§4,5",,Амур,П,,,,,,,,,,,,,,,
,Амуре),,,,,,,,,,,,,,,,,,,
  961.,Покровск,"§3,4,5",,Лена,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Покровске грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  962.,Покровское,§7,,Амур,О,,,,,,,,,,,,,,,
  963.,Покур,"§4,5",,Обь Большая,П,,,,,,,,,,,,,,,
  964.,Покча,§4,,Колва,ОП,,,,,,,,,,,,,,,
  965.,Покчинское,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  966.,Полазна,"§1,4",,Камское водохранилище,ОП,,,,,,,,,,,,,,,
  967.,Полесск,§2,Западный,Дейма,П,,,,,,,,,,,,,,,
  968.,Полноват,"§4,5",,Большая Обь,П,,,,,,,,,,,,,,,
  969.,Пологрудово,§4,,Иртыш,П,,,,,,,,,,,,,,,
  970.,Помпеевка,"§4,5",,Амур,О,,,,,,,,,,,,,,,
  971.,Попов,§4,,Цимлянское водохранилище,О,,,,,,,,,,,,,,,
  972.,Порецкое,§4,,Сура,ОП,,,,,,,,,,,,,,,
  973.,Порошино,§7,,Волга,О,,,,,,,,,,,,,,,
  974.,Потехино,"§4,5",,Зея,П,,,,,,,,,,,,,,,
  975.,Похвальный,"§4,5,6",,Индигирка,П,,,,,,,,,,,,,,,
  976.,Пошехони-Володарск,"§1,3,4",,Рыбинское водохранилище,ОП,5,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
  977.,Поярково,"§4,5",,Амур,ОП,,,,,,,,,,,,,,,
  978.,Предгорное,§4,Восточно-Казахстанский,Иртыш,ОП,,,,,,,,,,,,,,,
  979.,Предивинск,"§4,5",,Енисей,П,,,,,,,,,,,,,,,
  980.,Пржевальск,"§1,2,3,4,5",Иссык-Кульский,оз. Иссык-Куль,ОП,5,,,,,,,,,,,,,,
  981.,Прибор,§4,Верхнеднепровский,Сож,ОП,,,,,,,,,,,,,,,
  982.,Приводино,§4,,Северная Двина,ОП,,,,,,,,,,,,,,,
  983.,Приволжск,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  984.,Приволжье,§4,,Волга,О,,,,,,,,,,,,,,,
  985.,Приволжье (Астраханское),"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  986.,Приморск,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  987.,Приозерный,"§1,2,3,4",Восточно-Казахстанский,Бухтарминское водохранилище,ОП,5,,,,,,,,,,,,,,
  988.,Приозерск,§4,,оз. Ладожское,П,,,,,,,,,,,,,,,
  989.,Притыкино-Воздвиженье,§4,,Ветлуга,П,,,,,,,,,,,,,,,
  990.,Приуральское,"§4,5",,Печора,ОП,,,,,,,,,,,,,,,
  991.,Прияр,§4,Волго-Донский,Дон,ОП,,,,,,,,,,,,,,,
,,"Грузы, следующие назначением в Прияр и отправляемые с этой пристани, переваливаются с железной дороги на воду и с воды на железную дорогу только в порту Лиски.",,,,,,,,,,,,,,,,,,
  992.,Пролетарская,§4,Волго-Донский,Веселовское водохранилище,П,,,,,,,,,,,,,,,
  993.,Промкомбинат,§7,,Печора,О,,,,,,,,,,,,,,,
  994.,Промышленный,"§4,5",,Вилюй,П,,,,,,,,,,,,,,,
  995.,Пугачаны,"§4,5,7",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  996.,Пузино,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  997.,Пуйко,"§4,5",,Обь,П,,,,,,,,,,,,,,,
,,Пристань Пуйко открыта для операций по выдаче только каменного угля.,,,,,,,,,,,,,,,,,,
  998.,Пуркары,"§4,5",Министерство транспорта и,Днестр,П,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  999.,Пучеж,§4,,Волга,ОП,,,,,,,,,,,,,,,
 1000.,Пучуга,§4,,Северная Двина,ОП,,,,,,,,,,,,,,,
 1001.,Пяси-Надо,"§4,5",,Пур,ОП,,,,,,,,,,,,,,,
 1002.,Пятигоры,§4,,Кама,ОП,,,,,,,,,,,,,,,
 1003.,Работки,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
 1004.,Рагозино,§4,,Иньва,О,,,,,,,,,,,,,,,
 1005.,Радде,"§4,5",,Амур,П,,,,,,,,,,,,,,,
 1006.,Радуль,§4,Верхнеднепровский,Днепр,ОП,,,,,,,,,,,,,,,
 1007.,Раздорская,§4,,Дон,ОП,,,,,,,,,,,,,,,
 1008.,Разнежье,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
 1009.,Ракула,"§1,4",,Северная Двина,П,,,,,,,,,,,,,,,
 1010.,Раскайцы,"§4,5",Министерство транспорта и,Днестр,П,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
 1011.,Раскаты,§4,,Ветлуга,О,,,,,,,,,,,,,,,
 1012.,Распопинская,§4,,Дон,О,,,,,,,,,,,,,,,
 1013.,Раудоне,§7,Нямунский,Нямунас,О,3,,,,,,,,,,,,,,
 1014.,Редикор,§4,Камский,Вишера,П,,,,,,,,,,,,,,,
 1015.,Речица,"§1,2,4",Верхнеднепровский,Днепр,ОП,3,,,,,,,,,,,,,,
 1016.,Решма,§4,,Волга,П,,,,,,,,,,,,,,,
 1017.,Римское,§4,,оз. Онежское,О,,,,,,,,,,,,,,,
 1018.,Ровное,§4,,Волга,ОП,,,,,,,,,,,,,,,
 1019.,Ровное,§4,,оз. Ладожское,О,,,,,,,,,,,,,,,
 1020.,Рогачев,§4,Верхнеднепровский,Днепр,ОП,,,,,,,,,,,,,,,
 1021.,Рогожкино,§4,,Рукав Каланча,П,,,,,,,,,,,,,,,
 1022.,Рождественное,§7,,Волга,О,,,,,,,,,,,,,,,
 1023.,Рождественский Проран,§7,,Волга,О,,,,,,,,,,,,,,,
 1024.,Рождественское,§4,,Ветлуга,П,,,,,,,,,,,,,,,
 1025.,Романовская,§4,,Дон,ОП,,,,,,,,,,,,,,,
 1026.,Роп-Ручей,§4,,оз. Онежское,О,,,,,,,,,,,,,,,
 1027.,Ростов-на-Дону,"§ 1,2,3,4",,Дон,ОП,10,,,,,,,,,,,,,,
 1028.,Рочегда,§4,,Большая Северная Двина,ОП,,,,,,,,,,,,,,,
 1029.,Рубеж,§4,,Волго-Балтийский канал,О,,,,,,,,,,,,,,,
 1030.,Рубежка,§4,,Урал,О,,,,,,,,,,,,,,,
 1031.,Рускинская,"§4,5",,Тром-Юган,П,,,,,,,,,,,,,,,
 1032.,Русня,§4,Нямунский,Нямунас,ОП,,,,,,,,,,,,,,,
 1033.,Рыбальский гранитный,§4,ЗАО «Рыбальский карьер»,Самара,О,,,,,,,,,,,,,,,
,карьер,,,,,,,,,,,,,,,,,,,
 1034.,Рыбачье,"§1,2,3,4,5",Иссык-Кульский,оз. Иссык-Куль,ОП,5,,,,,,,,,,,,,,
 1035.,Рыбинск,"§1,2,3,4",,Волга,ОП,10,,,,,,,,,,,,,,
 1036.,Рыбная Слобода,"§4,7",,Кама,ОП,,,,,,,,,,,,,,,
 1037.,Рыбница,"§1,2,4,5",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
 1038.,Рыбное,§7,,Волга,О,,,,,,,,,,,,,,,
 1039.,Рябинино,"§1,4",,Вишера,ОП,,,,,,,,,,,,,,,
 1040.,Рябово,§4,,Вычегда,ОП,,,,,,,,,,,,,,,
 1041.,Рязановка,§7,,Белая,О,,,,,,,,,,,,,,,
 1042.,Рязань,"§1,2,3,4",,Ока,ОП,,,,,,,,,,,,,,,
 1043.,Сабетта-Яха,"§ 4,5",,Обская губа,ОП,10,,,,,,,,,,,,,,
 1044.,Савино-Бор,"§4,5",,Печора,П,,,,,,,,,,,,,,,
 1045.,Савитово,§7,,Волга,О,,,,,,,,,,,,,,,
 1046.,Сагибово,"§4,5",,Амур,О,,,,,,,,,,,,,,,
 1047.,Саженская,§7,,Иртыш,О,,,,,,,,,,,,,,,
 1048.,Сайды,"§4,5,6",,Яна,П,,,,,,,,,,,,,,,
 1049.,Саклово,§7,,Кама,О,,,,,,,,,,,,,,,
 1050.,Салауши,§7,,Кама,О,,,,,,,,,,,,,,,
 1051.,Салемал,"§4,5",,Надымская Обь,П,,,,,,,,,,,,,,,
 1052.,Салехард,"§1,3,4",,Полуй,ОП,5,,,,,,,,,,,,,,
 1053.,Самара,"§1,2,3,4",,Волга,ОП,100,,,,,,,,,,,,,,
 1054.,Самотлор,"§4,5",,Вах,П,,,,,,,,,,,,,,,
 1055.,Самусьский РЭБ,"§4,5",,Томь,ОП,,,,,,,,,,,,,,,
 1056.,Сангары,"§3,4,5",,Лена,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Сангарах грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
 1057.,Санкт-Петербург,"§ 1,2,3, 4,5",ОАО «Санкт-Петер-бургский,Нева,ОП,27,,,,,,,,,,,,,,
,,,речной порт»,,,,,,,,,,,,,,,,,
 1058.,Саныяхтат,"§4,5",,Лена,П,,,,,,,,,,,,,,,
,,Отгрузка должна производиться повагонными отправками.,,,,,,,,,,,,,,,,,,
 1059.,Сарайчик,§2,,Урал,ОП,3,,,,,,,,,,,,,,
 1060.,Сарапул,"§1,2,3,4,7",,Кама,ОП,5,,,,,,,,,,,,,,
 1061.,Саратов,"§1,2,3,4",,Волга,ОП,100,,,,,,,,,,,,,,
 1062.,Светлогорск,§4,,Березина,ОП,,,,,,,,,,,,,,,
 1063.,Светлогорск,"§3,4",,Курейка,ОП,,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
 1064.,Светлый,§2,,Преголя,ОП,,,,,,,,,,,,,,,
 1065.,Свирица,§4,,Свирь,ОП,,,,,,,,,,,,,,,
 1066.,Свирск,"§2,4",,Братское водохранилище,ОП,,,,,,,,,,,,,,,
 1067.,Свислочь,§4,Верхнеднепровский,Березина,О,,,,,,,,,,,,,,,
 1068.,Свобода,§4,,Маныч,ОП,,,,,,,,,,,,,,,
 1069.,Свободный,"§1,2,3,4",,Зея,ОП,6,,,,,,,,,,,,,,
 1070.,Се-Яха,"§4,5",,Обская губа,П,5,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Се-Яхе грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
 1071.,Северодвинск,§4,,Северная Двина,ОП,,,,,,,,,,,,,,,
 1072.,Сегежа,§4,,Выгозеро,ОП,,,,,,,,,,,,,,,
 1073.,Седяш-Нагаево,§4,,Урюш,ОП,,,,,,,,,,,,,,,
 1074.,Села,§7,,Чусовая,О,,,,,,,,,,,,,,,
 1075.,Сельцо,§4,,Северная Двина,ОП,,,,,,,,,,,,,,,
 1076.,Семеново,§4,,Водла,О,,,,,,,,,,,,,,,
 1077.,Семигорье,§4,,Волга,ОП,,,,,,,,,,,,,,,
 1078.,Семикаракорская,"§3,4",,Дон,ОП,5,,,,,,,,,,,,,,
 1079.,Семипалатинск,"§1,2,3,4,7",,Иртыш,ОП,,,,,,,,,,,,,,,
 1080.,Семиярск,§4,,Иртыш,ОП,,,,,,,,,,,,,,,
 1081.,Сенгилей,"§1,4,7",,Волга,ОП,,,,,,,,,,,,,,,
 1082.,Серафимович,"§3,4",,Дон,ОП,5,,,,,,,,,,,,,,
 1083.,Сергино,"§1,2,3,4,5",,Пр. Алешкинская,ОП,10,,,,,,,,,,,,,,
 1084.,Серебрянка,§4,,Весляна,П,,,,,,,,,,,,,,,
 1085.,Серебрянск,§4,Восточно-Казахстанский,Бухтарминское водохранилище,ОП,,,,,,,,,,,,,,,
 1086.,Серегово,§4,,Колва,П,,,,,,,,,,,,,,,
 1087.,Сероглазка,§4,,Волга,ОП,,,,,,,,,,,,,,,
 1088.,Серяджус,§7,,Нямунас,О,3,,,,,,,,,,,,,,
 1089.,Сефтра,"§1,4",,Северная Двина,ОП,,,,,,,,,,,,,,,
 1090.,Сибирский,"§4,5",,Иртыш,П,,,,,,,,,,,,,,,
 1091.,Синенькие,§4,,Волга,П,,,,,,,,,,,,,,,
 1092.,Сиротинская,§4,,Дон,ОП,,,,,,,,,,,,,,,
 1093.,Славгород,§4,Верхнеднепровский,Сож,ОП,,,,,,,,,,,,,,,
 1094.,Слободзея,"§4,5",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
 1095.,Слободчиково,§4,,Вычегда,П,,,,,,,,,,,,,,,
 1096.,Смалининкай,§4,Нямунский,Нямунас,П,,,,,,,,,,,,,,,
 1097.,Смирновка,"§4,5",,Амур,П,,,,,,,,,,,,,,,
 1098.,Снежногорск,"§3,4,5",,Хантайка,П,5,,,,,,,,,,,,,,
,,Погрузка и выгрузка контейнеров производится силами и средствами грузоотправителей и грузополучателей.,,,,,,,,,,,,,,,,,,
 1099.,Соболино,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
 1100.,Советск,"§1,2,4",,Неман,ОП,5,,,,,,,,,,,,,,
 1101.,Советск,§4,,Вятка,ОП,,,,,,,,,,,,,,,
 1102.,Сокол,"§1,4",,Сухона,ОП,,,,,,,,,,,,,,,
 1103.,Соколки,"§1,4,7",,Вятка,ОП,3,,,,,,,,,,,,,,
 1104.,Соколово,"§4,5",,Печора,ОП,,,,,,,,,,,,,,,
 1105.,Сокольское,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
 1106.,Соликамск,"§1,4",,Камское водохранилище,ОП,,,,,,,,,,,,,,,
 1107.,Солнечная Поляна,§7,,Волга,О,,,,,,,,,,,,,,,
 1108.,Соломенное,§4,,оз. Онежское,ОП,,,,,,,,,,,,,,,
 1109.,Сольвычегодск,"§1,4",,Вычегда,ОП,,,,,,,,,,,,,,,
 1110.,Сорвижи,"§4,7",,Вятка,ОП,,,,,,,,,,,,,,,
 1111.,Сороки,"§4,5",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
 1112.,Сорочьи Горы,§7,,Куйбышевское водохранилище,О,,,,,,,,,,,,,,,
 1113.,Соснино,§4,,Обь,П,,,,,,,,,,,,,,,
 1114.,Сосновка-Вятская,§4,,Вятка,П,,,,,,,,,,,,,,,
 1115.,Сосновка-Саратовская,§4,,Волга,П,,,,,,,,,,,,,,,
 1116.,Соттинский Берег,"§4,5",,Лена,П,,,,,,,,,,,,,,,
 1117.,Софийское,§4,,Амур,П,,,,,,,,,,,,,,,
 1118.,Союзное,"§4,5",,Амур,П,,,,,,,,,,,,,,,
 1119.,Спасск,"§1,3,4",,Ока,ОП,5,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
 1120.,Спасское,"§4,5",,Амур,П,,,,,,,,,,,,,,,
 1121.,Спея,§7,Министерство транспорта и,Днестр,О,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
 1122.,Спицино,§7,,Зея,О,,,,,,,,,,,,,,,
 1123.,Среднее Бугаево,"§4,5",,Печора,П,,,,,,,,,,,,,,,
 1124.,Среднеколымск,"§4,5,6",,Колыма,П,,,,,,,,,,,,,,,
 1125.,Среднеленинское,"§4,5",,Амур,П,,,,,,,,,,,,,,,
 1126.,Сретенск,"§1,2,4",,Шилка,ОП,3,,,,,,,,,,,,,,
 1127.,Старая Калитва,§4,,Дон,П,,,,,,,,,,,,,,,
 1128.,Старочеркасская,§4,,Дон,ОП,,,,,,,,,,,,,,,
 1129.,Сташково,§4,,Воткинское водохранилище,П,,,,,,,,,,,,,,,
 1130.,Столпино,§4,,Волга,П,,,,,,,,,,,,,,,
 1131.,Сторожевск,"§3,4",,Вычегда,ОП,3,,,,,,,,,,,,,,
 1132.,Стрелка,"§4,5,6",,Адыча,П,,,,,,,,,,,,,,,
 1133.,Стрелка,"§3,4",,Енисей,П,,,,,,,,,,,,,,,
 1134.,Стрешин,§4,Верхнеднепровский,Днепр,ОП,,,,,,,,,,,,,,,
 1135.,Сунтар,"§3,4,5",,Вилюй,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Сунтаре грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
 1136.,Сура,§4,,Пинега,О,,,,,,,,,,,,,,,
 1137.,Сургут,"§1,2,3,4,5",,Обь,ОП,100,,,,,,,,,,,,,,
 1138.,Сусанино,"§4,5",,Амур,П,,,,,,,,,,,,,,,
 1139.,Сухарево,"§4,7",,Кама,П,,,,,,,,,,,,,,,
 1140.,Сухариха,"§3,4,5",,Енисей,П,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Сухарихе грузоотправители и грузополучатели обязаны производить своими силами и средствами на всех причалах.,,,,,,,,,,,,,,,,,,
 1141.,Сухоборка,§4,,Ветлуга,О,,,,,,,,,,,,,,,
 1142.,Сызрань,"§1,2,3,4",,Волга,ОП,10,,,,,,,,,,,,,,
 1143.,Сыктывкар,§4,,Сысола,ОП,,,,,,,,,,,,,,,
 1144.,Сыктывкар (Нижний Чов),"§1,3,4",,Вычегда,ОП,10,,,,,,,,,,,,,,
 1145.,Сырая,§4,,Сылва,П,,,,,,,,,,,,,,,
 1146.,Сытомино,"§4,5",,Обь,П,,,,,,,,,,,,,,,
 1147.,Таборы,§4,,Воткинское водохранилище,О,,,,,,,,,,,,,,,
 1148.,Табынск,§4,,Белая,О,,,,,,,,,,,,,,,
 1149.,Тадибя-Яха,"§4,5",,Обская губа,П,5,,,,,,,,,,,,,,
 1150.,Тазовское,"§3,4,5",,Таз,ОП,5,,,,,,,,,,,,,,
 1151.,Таймылыр,"§4,5",,Оленек,П,,,,,,,,,,,,,,,
 1152.,Талмаз,"§4,5",Министерство транспорта и,Днестр,П,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
 1153.,Таман,§4,,Камское водохранилище,П,,,,,,,,,,,,,,,
 1154.,Тамбицы,§4,,оз. Онежское,О,,,,,,,,,,,,,,,
 1155.,Тамга,"§4,5",Иссык-Кульский,оз. Иссык-Куль,П,5,,,,,,,,,,,,,,
 1156.,Танайка,§7,,Кама,О,,,,,,,,,,,,,,,
 1157.,Танатово,"§4,5",,Иртыш,П,,,,,,,,,,,,,,,
 1158.,Тара,"§3,4",,Иртыш,ОП,5,,,,,,,,,,,,,,
 1159.,Тарасово,"§4,7",,Кама,ОП,,,,,,,,,,,,,,,
