Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Молдавской ж.д. (код дороги 39),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 39-001 ""ВЭЛЧИНЕЦ (ЭКСП.) - ОКНИЦА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Вэлчинец (эксп.),до ст. Окница,,,,,,,,,,,
" 14) участок 39-015 ""БАСАРАБЯСКА - ПРУТ II (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Басарабяска,до ст. Прут II (эксп.),,,,,,,,,,,
  1.,399004 .,Басарабяска,   0  км , 110  км ,,,,,,,,,,,
  2.,398904 .,Абаклия,  10  км , 100  км ,,,,,,,,,,,
  3.,397352 .,ОП Ост. пункт 6 км,  16  км ,  94  км ,,,,,,,,,,,
  4.,397333 .,Чок-Майдан (рзд),  23  км ,  87  км ,,,,,,,,,,,
  5.,397348 .,ОП Ост. пункт 18 км,  28  км ,  82  км ,,,,,,,,,,,
  6.,397329 .,ОП Башкалия,  32  км ,  78  км ,,,,,,,,,,,
  7.,397314 .,ОП Чукур-Минджир,  35  км ,  75  км ,,,,,,,,,,,
  8.,397300 .,Комрат,  43  км ,  67  км ,,,,,,,,,,,
  9.,397244 .,ОП Дезгинжя,  51  км ,  59  км ,,,,,,,,,,,
 10.,397233 .,Ченак (рзд),  58  км ,  52  км ,,,,,,,,,,,
 11.,397225 .,ОП Хыртоп,  69  км ,  41  км ,,,,,,,,,,,
 12.,397210 .,ОП Бэюш,  72  км ,  38  км ,,,,,,,,,,,
 13.,397206 .,Яргора,  77  км ,  33  км ,,,,,,,,,,,
 14.,397140 .,ОП Ост. пункт 72 км,  82  км ,  28  км ,,,,,,,,,,,
 15.,397121 .,ОП Купорань,  85  км ,  25  км ,,,,,,,,,,,
 16.,397136 .,ОП Гоносень,  90  км ,  20  км ,,,,,,,,,,,
 17.,397117 .,ОП Тэтэрашть,  92  км ,  18  км ,,,,,,,,,,,
 18.,397102 .,Прут, 100  км ,  10  км ,,,,,,,,,,,
 19.,396909 .,Прут II, 105  км ,   5  км ,,,,,,,,,,,
 20.,397009 .,Прут II (эксп.), 110  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 15) участок 39-017 ""РЕДИУЛ-МАРЕ - БРЭТУШЕНЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Редиул-Маре,до ст. Брэтушень,до ст. Бэлць-Слобозия,,,,,,,,,,
  1.,393900 .,Редиул-Маре,   0  км ,  27  км ,  73  км ,,,,,,,,,,
  2.,393934 .,ОП Гуляны,   8  км ,  19  км ,  81  км ,,,,,,,,,,
  3.,393949 .,ОП Парково,  16  км ,  11  км ,  89  км ,,,,,,,,,,
  4.,394000 .,Брэтушень,  27  км ,   0  км , 100  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 16) участок 39-018 ""УНГЕНЬ - УНГЕНЬ (ЭКСП. ЧФР)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Унгень,до ст. Унгень (эксп. ЧФР),,,,,,,,,,,
  1.,392005 .,Унгень,   0  км ,   2  км ,,,,,,,,,,,
  2.,392202 .,Унгень (эксп. БДЖ),   0  км ,   2  км ,,,,,,,,,,,
  3.,392109 .,Унгень (эксп. ЧФР),   2  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 17) участок 39-021 ""КИШИНЭУ - КЭИНАРЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кишинэу,до ст. Кэинарь,,,,,,,,,,,
  1.,391207 .,Кишинэу,   0  км ,  55  км ,,,,,,,,,,,
  2.,391002 .,Ревака,   9  км ,  46  км ,,,,,,,,,,,
  3.,391017 .,ОП Парк Ревака,  19  км ,  36  км ,,,,,,,,,,,
  4.,391021 .,ОП Дачи,  20  км ,  35  км ,,,,,,,,,,,
  5.,391036 .,ОП Добружа,  21  км ,  34  км ,,,,,,,,,,,
  6.,399413 .,ОП Гангура,  29  км ,  26  км ,,,,,,,,,,,
  7.,399409 .,Бэлцаць,  31  км ,  24  км ,,,,,,,,,,,
  8.,399305 .,Кэинарь,  55  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 18) участок 39-022 ""БЕНДЕР I - КЭИНАРЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бендер I,до ст. Кэинарь,,,,,,,,,,,
  1.,390001 .,Бендер I,   0  км ,  58  км ,,,,,,,,,,,
  2.,390014 .,ОП Шелковый Комбинат,   3  км ,  55  км ,,,,,,,,,,,
  3.,390029 .,ОП Суворово,   8  км ,  50  км ,,,,,,,,,,,
  4.,399907 .,Хаджимус (рзд),  13  км ,  45  км ,,,,,,,,,,,
  5.,399818 .,ОП Киркэешть,  15  км ,  43  км ,,,,,,,,,,,
  6.,399803 .,Кэушень,  25  км ,  33  км ,,,,,,,,,,,
  7.,399714 .,Разъезд 34 км,  32  км ,  26  км ,,,,,,,,,,,
  8.,399700 .,Заим,  38  км ,  20  км ,,,,,,,,,,,
  9.,399339 .,ОП Сэлкуца,  43  км ,  15  км ,,,,,,,,,,,
 10.,399324 .,ОП Марианка,  48  км ,  10  км ,,,,,,,,,,,
 11.,399315 .,ОП Кашкалия,  53  км ,   5  км ,,,,,,,,,,,
 12.,399305 .,Кэинарь,  58  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 19) участок 39-023 ""КЭИНАРЬ - БАСАРАБЯСКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кэинарь,до ст. Басарабяска (эксп.),,,,,,,,,,,
  1.,399305 .,Кэинарь,   0  км ,  54  км ,,,,,,,,,,,
  2.,399358 .,ОП Ост. пункт 63 км,   4  км ,  50  км ,,,,,,,,,,,
  3.,399220 .,Разъезд 67 км,   7  км ,  47  км ,,,,,,,,,,,
  4.,399216 .,ОП Кэрбуна,  12  км ,  42  км ,,,,,,,,,,,
  5.,399343 .,Злоць,  25  км ,  29  км ,,,,,,,,,,,
  6.,399150 .,ОП Ост. пункт 89 км,  29  км ,  25  км ,,,,,,,,,,,
  7.,399131 .,ОП Чуфлешть (рзд),  32  км ,  22  км ,,,,,,,,,,,
  8.,399127 .,ОП Сатул Ноу,  35  км ,  19  км ,,,,,,,,,,,
  9.,399112 .,ОП Селемет,  39  км ,  15  км ,,,,,,,,,,,
 10.,399108 .,Чимишлия,  43  км ,  11  км ,,,,,,,,,,,
 11.,399057 .,ОП Ивановка,  45  км ,   9  км ,,,,,,,,,,,
 12.,399042 .,ОП Исерпия,  50  км ,   4  км ,,,,,,,,,,,
 13.,399023 .,Разъезд 111 км,  51  км ,   3  км ,,,,,,,,,,,
 14.,399201 .,Чимишлия (эксп.),  52  км ,   2  км ,,,,,,,,,,,
 15.,392402 .,Басарабяска (эксп.),  54  км ,   0  км ,,,,,,,,,,,
 16.,399004 .,Басарабяска,  54  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 20) участок 39-025 ""ПРУТ - ДЖУРДЖУЛЕШТЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Прут,до ст. Джурджулешть,,,,,,,,,,,
  1.,397102 .,Прут,   0  км , 102  км ,,,,,,,,,,,
  2.,396824 .,Пут. Пост 8 км,   8  км ,  94  км ,,,,,,,,,,,
  3.,396819 .,ОП Стояновка,  13  км ,  89  км ,,,,,,,,,,,
  4.,396839 .,ОП Гелтосу,  17  км ,  85  км ,,,,,,,,,,,
  5.,396843 .,ОП Флэмында,  20  км ,  82  км ,,,,,,,,,,,
  6.,396805 .,Готешть,  23  км ,  79  км ,,,,,,,,,,,
  7.,397418 .,ОП Киркань,  30  км ,  72  км ,,,,,,,,,,,
  8.,397422 .,ОП Ост. пункт 26 км,  32  км ,  70  км ,,,,,,,,,,,
