Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
  314.,Бакач,О,01 Окт (Р),057422,
  315.,Бакинская,О,61 Прив (Р),610012,
  316.,Бакланово,О,32 Ю-Зап (У),325034,
  317.,Баклань,О,92 В-Сиб (Р),934132,
  318.,Баковка,О,17 Моск (Р),181757,
  319.,Бакор,О,61 Прив (Р),623690,
  320.,Бакунино,О,01 Окт (Р),068821,
  321.,Бакурцихе,О,57 Грз,561846,
  322.,Бакшеевка,Б,43 Южн (У),433328,
  323.,Бакэлектроавтомат,О,55 Азерб,547711,
  324.,Балабек,О,55 Азерб,551844,
  325.,Балабино,О,45 Придн (У),460715,
  326.,Балага,О,92 В-Сиб (Р),924319,
  327.,Балаклея I,О,40 Од (У),422728,
  328.,Балаклея II,О,40 Од (У),422713,
  329.,Балево,О,17 Моск (Р),212724,
  330.,Балкунай,О,12 Лит,123639,
  331.,Балластный карьер,О,83 З-Сиб (Р),865450,
  332.,Балтамишкис,Б,12 Лит,120950,
  333.,Балтэзерс,О,09 Лат,095513,
  334.,Балыкты,О,68 Кзх,673435,
  335.,Балынци,О,35 Льв (У),388832,
  336.,Балышур,О,24 Горьк (Р),274326,
  337.,Банилов,О,35 Льв (У),389426,
  338.,Банная Гора,О,76 Сверд (Р),760648,
  339.,Барановка,П,01 Окт (Р),062149,
  340.,Барановка,О,61 Прив (Р),623968,
  341.,Барановка,О,80 Ю-Ур (Р),805054,
  342.,Бараново,О,17 Моск (Р),210610,
  343.,Бараново,О,43 Южн (У),449311,
  344.,Баранье,Б,32 Ю-Зап (У),341221,
  345.,Бараташвили,О,57 Грз,573843,
  346.,Барвиновка,О,32 Ю-Зап (У),348036,
  347.,Барвиновка,О,40 Од (У),411210,
  348.,Барвинок,О,40 Од (У),414736,
  349.,Барвиха,О,17 Моск (Р),181846,
  350.,Баритная,Б,80 Ю-Ур (Р),806517,
  351.,Баркалабово,О,13 Бел,156127,
  352.,Барлак,О,83 З-Сиб (Р),851643,
  353.,Бармашево,О,83 З-Сиб (Р),852229,
  354.,Бармино,О,17 Моск (Р),232516,
  355.,Бармыш,О,57 Грз,574136,
  356.,Баронская,Б,48 Дон (У),506618,
  357.,Баронская,О,84 84-я дорога,848760,
  358.,Баррикадная,О,17 Моск (Р),186159,
  359.,Баррикады,О,61 Прив (Р),610218,
  360.,Барский Кордон,О,58 Ю-Вост (Р),590618,
  361.,Барсовый,О,96 Д-Вост (Р),988113,
  362.,Барсуки,О,13 Бел,141336,
  363.,Барсученко,О,17 Моск (Р),238512,
  364.,Барсучковский,О,51 С-Кав (Р),531338,
  365.,Бартеневка,Б,61 Прив (Р),627916,
  366.,Барышево,П,83 З-Сиб (Р),850064,
  367.,Басаргино,О,61 Прив (Р),610652,
  368.,Баскаки,О,32 Ю-Зап (У),348426,
  369.,Баскаковка,О,17 Моск (Р),174823,
  370.,Баскинский,О,76 Сверд (Р),783211,
  371.,Басов Кут,О,35 Льв (У),356668,
  372.,Бастыево,О,17 Моск (Р),215440,
  373.,Батагово,Б,17 Моск (Р),185832,
  374.,Батали,О,13 Бел,160341,
  375.,Баташата,О,76 Сверд (Р),765035,
  376.,Баташевский,О,51 С-Кав (Р),542667,
  377.,Батеево,О,24 Горьк (Р),248711,
  378.,Батманка,О,48 Дон (У),482786,
  379.,Батманка,О,89 89-я дорога,898684,
  380.,Батрадь,О,35 Льв (У),382540,
  381.,Батурки,О,83 З-Сиб (Р),835685,
  382.,Батча,О,13 Бел,131283,
  383.,Батьково,О,17 Моск (Р),212512,
  384.,Батюшково,О,17 Моск (Р),175421,
  385.,Батятыче,О,35 Льв (У),370913,
  386.,Бахметьево,О,58 Ю-Вост (Р),604064,
  387.,Бахмут,О,39 Млд,391801,
  388.,Бахмутовка,О,48 Дон (У),507818,
  389.,Бахмутовка,О,84 84-я дорога,849461,
  390.,Бахчиванджи,О,17 Моск (Р),235618,
  391.,Бачманово,О,17 Моск (Р),233810,
  392.,Бачумово,О,24 Горьк (Р),274237,
  393.,Башкалия,О,39 Млд,397329,
  394.,Башкино,О,17 Моск (Р),183413,
  395.,Башкирское,О,63 Кбш (Р),638412,
  396.,Баштанка,О,40 Од (У),414810,
  397.,Баюновские Зори,О,83 З-Сиб (Р),842176,
  398.,Баян,О,94 Заб (Р),948648,
  399.,Баяндарга,О,94 Заб (Р),943184,
  400.,Беговая,О,17 Моск (Р),198211,
  401.,Бедевля,О,35 Льв (У),385514,
  402.,Бедени (рзд),Б,57 Грз,563080,
  403.,Бедовый,О,94 Заб (Р),951020,
  404.,Безверховичи,О,13 Бел,148655,
  405.,Безводная,О,88 Крас (Р),893341,
  406.,Безводный,О,88 Крас (Р),880322,
  407.,Бездрик,О,43 Южн (У),433845,
  408.,Беззубово,О,17 Моск (Р),233311,
  409.,Безлюдовка,О,43 Южн (У),440232,
  410.,Безнег,О,28 Сев (Р),307318,
  411.,Безруковка,О,43 Южн (У),432236,
  412.,Безручки,О,43 Южн (У),447551,
  413.,Безум,О,24 Горьк (Р),275719,
  414.,Бейсужек,О,51 С-Кав (Р),516111,
  415.,Бекасово-Центральное,О,17 Моск (Р),180031,
  416.,Бекешевский,О,51 С-Кав (Р),520422,
  417.,Беланы,О,43 Южн (У),447015,
  418.,Белая,О,35 Льв (У),360714,
  419.,Белая Глина,О,76 Сверд (Р),787212,
  420.,Белая Гора,О,58 Ю-Вост (Р),434513,
  421.,Белецковка,О,43 Южн (У),425340,
  422.,Беливо,О,17 Моск (Р),231814,
  423.,Белин,О,35 Льв (У),386324,
  424.,Белин-Волынский,О,35 Льв (У),354022,
  425.,Белки,О,32 Ю-Зап (У),321122,
  426.,Белобережская,О,17 Моск (Р),200233,
  427.,Беловка,О,88 Крас (Р),881611,
  428.,Беловодье,О,76 Сверд (Р),795149,
  429.,Белогорье,О,32 Ю-Зап (У),340320,
  430.,Белогорье,О,94 Заб (Р),954511,
  431.,Белогруда,О,13 Бел,137542,
  432.,Беломечетская,О,51 С-Кав (Р),530814,
  433.,Белоозерский,О,17 Моск (Р),195020,
  434.,Белопесоцкий,О,17 Моск (Р),191829,
  435.,Белоселье,Б,32 Ю-Зап (У),342746,
  436.,Белосельский,О,13 Бел,163316,
  437.,Белоус,О,32 Ю-Зап (У),324830,
  438.,Белошицы,О,32 Ю-Зап (У),346223,
  439.,Белоярская Застава,О,76 Сверд (Р),794042,
  440.,Белоярский,О,76 Сверд (Р),793618,
  441.,Белоярский,О,83 З-Сиб (Р),840043,
  442.,Белушкино,О,61 Прив (Р),614117,
  443.,Белые Росы,О,88 Крас (Р),891492,
  444.,Белый Уголь,О,51 С-Кав (Р),532311,
  445.,Бель,О,13 Бел,158233,
