Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Грузинской ж.д. (код дороги 57),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 57-001 ""ГАНТИАДИ (ЭКСП.) - СЕНАКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гантиади (эксп.),до ст. Сенаки (эксп.),,,,,,,,,,,
 36.,560237 .,ОП Цхалсадени, 111  км ,  15  км ,,,,,,,,,,,
 37.,560218 .,ОП Дидубе, 116  км ,  10  км ,,,,,,,,,,,
 38.,560203 .,Тбилиси-Товарная, 118  км ,   8  км ,,,,,,,,,,,
 39.,577702 .,Тбилиси-Товарная (эксп.), 118  км ,   8  км ,,,,,,,,,,,
 40.,560148 .,Тбилиси-Пассажирская, 120  км ,   6  км ,,,,,,,,,,,
 41.,560097 .,Тбилиси-Узловая (эксп.), 126  км ,   0  км ,,,,,,,,,,,
 42.,560101 .,Тбилиси-Узловая, 126  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 57-005 ""ТБИЛИСИ-УЗЛОВАЯ - ГАРДАБАНИ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тбилиси-Узловая,до ст. Гардабани (эксп.),,,,,,,,,,,
  1.,560097 .,Тбилиси-Узловая (эксп.),   0  км ,  42  км ,,,,,,,,,,,
  2.,560101 .,Тбилиси-Узловая,   0  км ,  42  км ,,,,,,,,,,,
  3.,560010 .,ОП Платформа 2 км,   3  км ,  39  км ,,,,,,,,,,,
  4.,560006 .,Тбилиси-Сортировочная,   5  км ,  37  км ,,,,,,,,,,,
  5.,560063 .,Тбилиси-Сортировочная (эксп.),   5  км ,  37  км ,,,,,,,,,,,
  6.,560025 .,ОП Платформа 6 км,   7  км ,  35  км ,,,,,,,,,,,
  7.,562904 .,Вели,  10  км ,  32  км ,,,,,,,,,,,
  8.,562923 .,Вели (эксп.),  10  км ,  32  км ,,,,,,,,,,,
