Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список МОРСКИХ портов и пунктов, включенных в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Пароходство,Место,Операции,,,,,,,,,,,,,,,
  128.,Нижнеянск,"§ 2, 4, 5, 6",,Море Лаптевых,ОП,,,,,,,,,,,,,,,
  129.,Нижний Пяндж,"§ 2, 4, 5, 6",Среднеазиатское,р. Пяндж,ОП,,,,,,,,,,,,,,,
  130.,Николаев,§ 1,ГАМРТУ,Черное море,ОП,,,,,,,,,,,,,,,
  131.,Николаевск-на-Амуре,"§ 1*, 4,",,Амурский лиман,ОП,,,,,,,,,,,,,,,
,,*Производит операции с тяжеловесными грузами до 20 т в одном месте и длинномерными длиной до 12 м.,,,,,,,,,,,,,,,,,,
  132.,Никольское,"§ 1, 4, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
  133.,Новороссийск,"§ 1, 7",,Черное море,ОП,,,,,,,,,,,,,,,
  134.,Новороссийск ООО Апрель,"§ 1, 7",-,Черное море,ОП,,,,,,,,,,,,,,,
  135.,Новороссийск ООО,§ 7,-,Черное море,,,,,,,,,,,,,,,,
,ИНМОРТЕРМИНАЛ,,,,ОП,,,,,,,,,,,,,,,
  136.,Новороссийск ООО ЛТБ,"§ 1, 7",,Черное море,ОП,,,,,,,,,,,,,,,
  137.,Новороссийск ООО НПК,"§ 1, 7",-,Черное море,ОП,,,,,,,,,,,,,,,
  138.,Новороссийск ООО,7,-,Черное море,,,,,,,,,,,,,,,,
,ТрансКонСервис,,,,ОП,,,,,,,,,,,,,,,
  139.,"Новороссийск, ЗАО","§ 1, 7",,Черное море,,,,,,,,,,,,,,,,
,"""Зерновой терминал ""КСК""",,,,ОП,,,,,,,,,,,,,,,
  140.,Нукус,"§ 2, 4, 5, 6",Среднеазиатское,р. Амударья,ОП,,,,,,,,,,,,,,,
  141.,ОАО Калининградский,"§ 1, 7",,Балтийское море,,,,,,,,,,,,,,,,
,морской порт,,,,ОП,,,,,,,,,,,,,,,
  142.,ОАО Морской порт в бухте,"§ 1, 7",,Японское море,,,,,,,,,,,,,,,,
,Троицы,,,,ОП,,,,,,,,,,,,,,,
  143.,ОАО Находкинский морской,"§ 1, 7",,Японское море,,,,,,,,,,,,,,,,
,рыбный порт,,,,ОП,,,,,,,,,,,,,,,
  144.,Одесса,"§ 1, 7",ГАМРТУ,Черное море,ОП,,,,,,,,,,,,,,,
  145.,Озерновский,"§ 2, 4, 5, 6, 7",,Охотское море,ОП,,,,,,,,,,,,,,,
  146.,Октябрьский,"§ 2, 4, 5, 6, 7",,Охотское море,ОП,,,,,,,,,,,,,,,
  147.,Октябрьское,"§ 2, 4, 5, 6",,Татарский пролив,ОП,,,,,,,,,,,,,,,
  148.,Оленья Губа,"§ 1, 5, 6, 7*",,Кольский залив,ОП,,,,,,,,,,,,,,,
  149.,Оля,"§ 1, 7",,Каспийское море,ОП,,,,,,,,,,,,,,,
,,"* Работа с контейнерами массой брутто 3-5 т, Оля § 1, 7 кроме насыпных и навалочных грузов.",,,,,,,,,,,,,,,,,,
  150.,Онега,"§ 2, 4",,Белое море,ОП,,,,,,,,,,,,,,,
  151.,ООО Владивостокский,"§ 1, 7",,Японское море,,,,,,,,,,,,,,,,
,контейнерный терминал,,,,ОП,,,,,,,,,,,,,,,
  152.,ООО Востокморсервис,"§ 1, 7",,Японское море,ОП,,,,,,,,,,,,,,,
  153.,ООО Восточная Стивидорная,"§ 1, 7",,Японское море,,,,,,,,,,,,,,,,
,Компания,,,,ОП,,,,,,,,,,,,,,,
  154.,ООО ПАД,"§ 1, 7",,Черное море,ОП,,,,,,,,,,,,,,,
  155.,ООО Порт Логистик,"§ 1, 6",-,Балтийское море Выборгский,,,,,,,,,,,,,,,,
,,,,залив,ОП,,,,,,,,,,,,,,,
  156.,ООО Терминал-А,"§ 1, 7",,Черное море,ОП,,,,,,,,,,,,,,,
  157.,ООО ЮГ ТЕРМИНАЛ,"§ 1, 7",,Черное море,ОП,,,,,,,,,,,,,,,
  158.,Оссора,"§ 2, 4, 5, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
  159.,Охотск,"§ 2, 4, 5, 6, 7",,Охотское море,ОП,,,,,,,,,,,,,,,
  160.,Очаков,"§ 3, 4",Порт Николаев,Черное море,ОП,,,,,,,,,,,,,,,
  161.,Пахача,"§ 2, 4, 5, 6, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
  162.,ПАО НСРЗ,1,-,Японское море,ОП,,,,,,,,,,,,,,,
  163.,Певек,"§ 1, 2, 4, 6, 7",,Восточно-Сибирское море,ОП,,,,,,,,,,,,,,,
,,"* С ограничением массы груза до 20 т в одном месте, а также длинномерных грузов.",,,,,,,,,,,,,,,,,,
  164.,Петролеспорт,"§ 1, 7",,Балтийское море,ОП,,,,,,,,,,,,,,,
  165.,Петропавловск-Камчатский,"§ 1,7",,Тихий океан,ОП,,,,,,,,,,,,,,,
  166.,Пильво,"§ 2, 4, 5, 6",,Татарский пролив,ОП,,,,,,,,,,,,,,,
  167.,Пирамида,"§ 1, 4, 7",,Баренцево море (о.,,,,,,,,,,,,,,,,
,,,,Шпицберген),ОП,,,,,,,,,,,,,,,
  168.,Пограничное,"§ 2, 4, 5, 6",,Охотское море,ОП,,,,,,,,,,,,,,,
  169.,Порт Астрахань ООО,§ 1,,Каспийское море,,,,,,,,,,,,,,,,
,"""Терминал Ильинка""",,,,ОП,,,,,,,,,,,,,,,
