Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южной ж.д. (код дороги 43),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 43-001 ""ХАРЬКОВ-СОРТИРОВОЧНЫЙ - МЕРЕФА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Харьков-Сортировочный,до ст. Мерефа,,,,,,,,,,,
  1.,448709 .,Полтава-Южная,   0  км , 131  км ,,,,,,,,,,,
  2.,448569 .,ОП Ост. Пункт 336 км,   3  км , 128  км ,,,,,,,,,,,
  3.,448554 .,ОП Крутой Берег,   4  км , 127  км ,,,,,,,,,,,
  4.,448545 .,Кривохатки (рзд),   6  км , 125  км ,,,,,,,,,,,
  5.,448535 .,ОП Монастырский,   8  км , 123  км ,,,,,,,,,,,
  6.,448588 .,Разъезд 328 км,  10  км , 121  км ,,,,,,,,,,,
  7.,448520 .,ОП Яковцы,  12  км , 119  км ,,,,,,,,,,,
  8.,448516 .,Шведская Могила (рзд),  14  км , 117  км ,,,,,,,,,,,
  9.,448501 .,Полтава-Киевская,  18  км , 113  км ,,,,,,,,,,,
 10.,448408 .,Супруновка,  22  км , 109  км ,,,,,,,,,,,
 11.,448338 .,Путевой пост 311 км,  27  км , 104  км ,,,,,,,,,,,
 12.,448319 .,ОП Ивашки,  28  км , 103  км ,,,,,,,,,,,
 13.,447602 .,Абазовка,  32  км ,  99  км ,,,,,,,,,,,
 14.,448234 .,ОП Ост. Пункт 303 км,  35  км ,  96  км ,,,,,,,,,,,
 15.,448304 .,Уманцевка,  38  км ,  93  км ,,,,,,,,,,,
 16.,448253 .,Путевой пост 296 км,  43  км ,  88  км ,,,,,,,,,,,
 17.,448215 .,ОП Ост. Пункт 294 км,  44  км ,  87  км ,,,,,,,,,,,
 18.,448200 .,Решетиловка,  48  км ,  83  км ,,,,,,,,,,,
 19.,448126 .,ОП Шкурупии,  51  км ,  80  км ,,,,,,,,,,,
 20.,448111 .,Братешки,  59  км ,  72  км ,,,,,,,,,,,
 21.,448107 .,Сагайдак,  66  км ,  65  км ,,,,,,,,,,,
 22.,448018 .,ОП Федунка,  72  км ,  59  км ,,,,,,,,,,,
 23.,448003 .,Яреськи,  78  км ,  53  км ,,,,,,,,,,,
 24.,447918 .,Матяшевка,  84  км ,  47  км ,,,,,,,,,,,
 25.,447903 .,Гоголево,  91  км ,  40  км ,,,,,,,,,,,
 26.,447814 .,Мелашенково,  97  км ,  34  км ,,,,,,,,,,,
 27.,448342 .,Путевой пост 237 км, 101  км ,  30  км ,,,,,,,,,,,
 28.,447801 .,Миргород, 105  км ,  26  км ,,,,,,,,,,,
 29.,447735 .,Пост 227 км, 111  км ,  20  км ,,,,,,,,,,,
 30.,447706 .,Кибинцы, 118  км ,  13  км ,,,,,,,,,,,
 31.,447725 .,ОП Ост. Пункт 209 км, 128  км ,   3  км ,,,,,,,,,,,
 32.,427308 .,Ромодан, 131  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 43-010 ""РОМОДАН - ГРЕБЕНКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ромодан,до ст. Гребенка,,,,,,,,,,,
  1.,427308 .,Ромодан,   0  км ,  72  км ,,,,,,,,,,,
  2.,429915 .,Пут. пост 200 км,   6  км ,  66  км ,,,,,,,,,,,
  3.,429905 .,Тарнавщина,  11  км ,  61  км ,,,,,,,,,,,
  4.,429816 .,Путевой пост 190 км,  16  км ,  56  км ,,,,,,,,,,,
  5.,429801 .,Солоницкая,  20  км ,  52  км ,,,,,,,,,,,
  6.,429712 .,ОП Терны,  24  км ,  48  км ,,,,,,,,,,,
  7.,429708 .,Лубны,  30  км ,  42  км ,,,,,,,,,,,
  8.,429638 .,Пост 172 км,  34  км ,  38  км ,,,,,,,,,,,
  9.,429619 .,ОП Стронское,  36  км ,  36  км ,,,,,,,,,,,
 10.,429623 .,ОП Ост. Пункт 167 км,  39  км ,  33  км ,,,,,,,,,,,
 11.,429604 .,Вилы,  43  км ,  29  км ,,,,,,,,,,,
 12.,429515 .,ОП Ивановка,  50  км ,  22  км ,,,,,,,,,,,
 13.,429520 .,Путевой пост 155 км,  51  км ,  21  км ,,,,,,,,,,,
 14.,429500 .,Лазорки,  56  км ,  16  км ,,,,,,,,,,,
 15.,428349 .,ОП Ост. Пункт 147 км,  60  км ,  12  км ,,,,,,,,,,,
 16.,428334 .,Пут. пост 143 км,  63  км ,   9  км ,,,,,,,,,,,
 17.,428324 .,ОП Беседовщина,  66  км ,   6  км ,,,,,,,,,,,
 18.,428372 .,ОП Ост. Пункт 137 км,  69  км ,   3  км ,,,,,,,,,,,
 19.,428315 .,ОП Ост. Пункт 136 км,  70  км ,   2  км ,,,,,,,,,,,
 20.,428300 .,Гребенка,  72  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 43-011 ""ГРЕБЕНКА - ПРИЛУКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гребенка,до ст. Прилуки,,,,,,,,,,,
  1.,428300 .,Гребенка,   0  км ,  58  км ,,,,,,,,,,,
  2.,428387 .,ОП Остановочная платформа 798 км,   1  км ,  57  км ,,,,,,,,,,,
  3.,428353 .,ОП База,   3  км ,  55  км ,,,,,,,,,,,
  4.,428368 .,ОП Тарасовка,  10  км ,  48  км ,,,,,,,,,,,
  5.,428404 .,Пирятин,  15  км ,  43  км ,,,,,,,,,,,
  6.,428442 .,ОП Остановочная платформа 780 км,  19  км ,  39  км ,,,,,,,,,,,
  7.,428419 .,ОП Сосиновка,  22  км ,  36  км ,,,,,,,,,,,
  8.,428423 .,ОП Ост. Пункт 773 км,  26  км ,  32  км ,,,,,,,,,,,
  9.,428601 .,Грабаровка,  32  км ,  26  км ,,,,,,,,,,,
 10.,428508 .,Линовицы,  45  км ,  13  км ,,,,,,,,,,,
 11.,428527 .,ОП Остановочная платформа 750 км,  50  км ,   8  км ,,,,,,,,,,,
 12.,428512 .,ОП Ост. Пункт 746 км,  53  км ,   5  км ,,,,,,,,,,,
 13.,429002 .,Прилуки,  58  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 43-012 ""ПРИЛУКИ - НЕЖИН (Юго-Западной ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Прилуки,до ст. Нежин,,,,,,,,,,,
  1.,429002 .,Прилуки,   0  км ,  65  км ,,,,,,,,,,,
  2.,428832 .,ОП Ост. Пункт 61 км,   3  км ,  62  км ,,,,,,,,,,,
