Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Западно-Сибирской ж.д. (код дороги 83),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 83-001 ""НАЗЫВАЕВСКАЯ - КАРБЫШЕВО I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Называевская,до ст. Карбышево I,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сокур,до ст. Болотная,,,,,,,,,,,
  1.,851809 .,Сокур,   0  км ,  90  км ,,,,,,,,,,,
  2.,851851 .,ОП Ремонтник,   4  км ,  86  км ,,,,,,,,,,,
  3.,851847 .,ОП Зеленодольская,   9  км ,  81  км ,,,,,,,,,,,
  4.,851828 .,ОП Кошево,  13  км ,  77  км ,,,,,,,,,,,
  5.,851832 .,ОП Мошково-Западная,  17  км ,  73  км ,,,,,,,,,,,
  6.,854101 .,Мошково,  22  км ,  68  км ,,,,,,,,,,,
  7.,854116 .,ОП Порос,  32  км ,  58  км ,,,,,,,,,,,
  8.,854120 .,ОП Новоалександровка,  35  км ,  55  км ,,,,,,,,,,,
  9.,854135 .,ОП Тасино,  38  км ,  52  км ,,,,,,,,,,,
 10.,854140 .,ОП Приборостроитель,  41  км ,  49  км ,,,,,,,,,,,
 11.,854224 .,Ояш,  45  км ,  45  км ,,,,,,,,,,,
 12.,854216 .,ОП Кубово,  53  км ,  37  км ,,,,,,,,,,,
 13.,854243 .,ОП Ветеран труда,  58  км ,  32  км ,,,,,,,,,,,
 14.,854239 .,Чебула,  65  км ,  25  км ,,,,,,,,,,,
 15.,854313 .,ОП Чахлово,  77  км ,  13  км ,,,,,,,,,,,
 16.,854402 .,Болотная,  90  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 83-011 ""ИНСКАЯ - СРЕДНЕСИБИРСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Инская,до ст. Среднесибирская,,,,,,,,,,,
  1.,850007 .,Инская,   0  км , 161  км ,,,,,,,,,,,
  2.,850401 .,Сибирская,   6  км , 155  км ,,,,,,,,,,,
  3.,853448 .,ОП Звездная,   8  км , 153  км ,,,,,,,,,,,
  4.,853429 .,ОП Речпорт,   9  км , 152  км ,,,,,,,,,,,
  5.,853414 .,ОП Матвеевка,  11  км , 150  км ,,,,,,,,,,,
  6.,853433 .,Юность,  12  км , 149  км ,,,,,,,,,,,
  7.,853310 .,ОП Нижняя Ельцовка,  15  км , 146  км ,,,,,,,,,,,
  8.,853306 .,Сеятель,  17  км , 144  км ,,,,,,,,,,,
  9.,853221 .,ОП Обское Море,  21  км , 140  км ,,,,,,,,,,,
 10.,853217 .,ОП Береговая,  24  км , 137  км ,,,,,,,,,,,
 11.,853236 .,ОП Речкуновка,  27  км , 134  км ,,,,,,,,,,,
 12.,853109 .,Бердск,  30  км , 131  км ,,,,,,,,,,,
 13.,853058 .,ОП Морозово,  36  км , 125  км ,,,,,,,,,,,
 14.,853043 .,ОП Сельская ,  39  км , 122  км ,,,,,,,,,,,
 15.,853039 .,ОП Обской Залив,  41  км , 120  км ,,,,,,,,,,,
 16.,853024 .,ОП Лебедёвка,  43  км , 118  км ,,,,,,,,,,,
 17.,853010 .,ОП Совхоз Бердский,  47  км , 114  км ,,,,,,,,,,,
 18.,853005 .,Искитим,  49  км , 112  км ,,,,,,,,,,,
 19.,852924 .,ОП Монолитная,  51  км , 110  км ,,,,,,,,,,,
 20.,852816 .,ОП Мичуринец,  53  км , 108  км ,,,,,,,,,,,
 21.,852915 .,ОП Мраморная,  55  км , 106  км ,,,,,,,,,,,
 22.,852939 .,ОП Святой Источник,  57  км , 104  км ,,,,,,,,,,,
 23.,852905 .,Ложок,  59  км , 102  км ,,,,,,,,,,,
 24.,852801 .,Евсино,  65  км ,  96  км ,,,,,,,,,,,
 25.,852712 .,ОП Койниха,  70  км ,  91  км ,,,,,,,,,,,
 26.,852708 .,Линево,  73  км ,  88  км ,,,,,,,,,,,
 27.,852604 .,Дорогино,  82  км ,  79  км ,,,,,,,,,,,
 28.,852500 .,Посевная,  92  км ,  69  км ,,,,,,,,,,,
 29.,852407 .,Черепаново, 101  км ,  60  км ,,,,,,,,,,,
 30.,841012 .,Искра (рзд), 109  км ,  52  км ,,,,,,,,,,,
 31.,841008 .,Безменово, 118  км ,  43  км ,,,,,,,,,,,
 32.,840931 .,Огоньки (рзд), 126  км ,  35  км ,,,,,,,,,,,
 33.,840912 .,Красный Боец (рзд), 143  км ,  18  км ,,,,,,,,,,,
 34.,840908 .,Усть-Тальменская, 151  км ,  10  км ,,,,,,,,,,,
 35.,840728 .,ОП Луговское, 155  км ,   6  км ,,,,,,,,,,,
 36.,840804 .,Среднесибирская, 161  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 83-012 ""СРЕДНЕСИБИРСКАЯ - АЛТАЙСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Среднесибирская,до ст. Алтайская,,,,,,,,,,,
  1.,840804 .,Среднесибирская,   0  км ,  44  км ,,,,,,,,,,,
  2.,840715 .,ОП Литвиновка,   6  км ,  38  км ,,,,,,,,,,,
  3.,840683 .,Озерки,   9  км ,  35  км ,,,,,,,,,,,
  4.,840611 .,ОП Село-Озерки,  10  км ,  34  км ,,,,,,,,,,,
  5.,840607 .,Цаплино,  20  км ,  24  км ,,,,,,,,,,,
  6.,840522 .,ОП Грибное,  24  км ,  20  км ,,,,,,,,,,,
  7.,840518 .,ОП Казачий,  28  км ,  16  км ,,,,,,,,,,,
  8.,840503 .,Повалиха,  30  км ,  14  км ,,,,,,,,,,,
  9.,840077 .,ОП Зудилово,  31  км ,  13  км ,,,,,,,,,,,
 10.,840062 .,ОП Новососняк,  36  км ,   8  км ,,,,,,,,,,,
 11.,840058 .,ОП Сосняк,  37  км ,   7  км ,,,,,,,,,,,
