Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Казахстан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Актау-Порт,Актогай,Алимбет (эксп.),Алматы 1,Алтынколь (эксп.),Арыс 1,Астана-1,Бейнеу,Берлик I,Болашак (эксп.),Дины Нурпеисовой (рзд) (эксп.),Достык (эксп.),Екибастуз I,Елимай (обп) (эксп.),Ерейментау,Есиль,Жана-Есиль,Жана-Семей,Жарык,Жетыген,Зерновая (эксп.),Золотая Сопка (эксп.),Илецк I (эксп.),Кандыагаш,Караганда-Сортировочная,Караганды,Кокшетау I,Костанай,Куркамыс (эксп.),Курык-Порт,Кызылжар,Локоть (эксп. на Малиновое Озеро),Макат,Мангистау,Мойынты,Никельтау,Новоустькаменогорск,Оазис (рзд) (эксп.),Оскемен-1,Павлодар,Петропавловск (эксп.),Сарыагаш (эксп.),Сексеул,Семей,Семиглавый Мар (эксп.),Сороковая,Тараз,Тобол,Турксиб (эксп.),Шагыр (эксп.),Шалкар,Шар,Шымкент
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
34,Мангистау,4,2773,1309,2788,3124,1963,2396,404,2485,326,1114,3082,2678,1854,2511,2037,2068,3139,2034,2831,2238,2011,1385,1096,2178,2155,2256,1845,2927,73,1780,3263,704,0,2249,1231,3276,483,3288,2810,2451,2094,1068,3144,1766,2384,2245,1749,2362,1999,903,3125,2042
35,Мойынты,2253,524,1832,741,1077,960,577,1845,438,2575,2421,833,859,1346,692,953,1061,984,215,784,1231,1450,1908,1619,359,336,873,1284,1108,2322,469,1111,2011,2249,0,1754,1027,1924,1039,991,1068,1091,1181,992,2289,565,678,1241,561,996,1346,876,881
36,Никельтау,1235,2278,78,2293,2629,1468,1182,827,1990,1557,937,2587,1488,623,1321,806,837,1949,1539,2336,1007,780,424,135,1400,1423,1025,614,1737,1304,1285,2073,527,1231,1754,0,2208,906,2220,1620,1220,1599,573,1954,805,1194,1750,518,1867,1504,408,2057,1547
37,Новоустькаменогорск,3280,503,2286,1060,1310,1885,1026,2872,1363,3602,3145,821,720,1795,887,1402,1510,259,1242,1017,1680,1899,2632,2343,1220,1243,1322,1733,753,3349,1496,250,2735,3276,1027,2208,0,2951,12,636,1517,2016,2208,267,3013,1014,1603,1690,1486,1921,2373,151,1806
38,Оазис (рзд) (эксп.),487,2448,984,2463,2799,1638,2071,79,2160,809,789,2757,2353,1529,2186,1712,1743,2814,1709,2506,1913,1686,1060,771,1853,1830,1931,1520,2602,556,1455,2938,379,483,1924,906,2951,0,2963,2485,2126,1769,743,2819,1441,2059,1920,1424,2037,1674,578,2800,1717
39,Оскемен-1,3292,515,2298,1072,1322,1897,1038,2884,1375,3614,3157,833,732,1807,899,1414,1522,271,1254,1029,1692,1911,2644,2355,1232,1255,1334,1745,765,3361,1508,238,2747,3288,1039,2220,12,2963,0,648,1529,2028,2220,279,3025,1026,1615,1702,1498,1933,2385,163,1818
40,Павлодар,2814,837,1698,1394,1644,1951,438,2406,1429,3136,2557,1155,132,1207,299,814,922,377,776,1351,1092,1311,2044,1755,632,655,734,1145,117,2883,1030,501,2147,2810,991,1620,636,2485,648,0,929,2082,1742,382,2425,426,1669,1102,1552,1987,1907,485,1872
41,Петропавловск (эксп.),2455,1592,1298,1809,2145,2028,491,2047,1506,2777,2157,1901,797,807,630,867,383,1258,853,1852,553,772,1644,1355,709,732,195,606,1046,2524,1107,1382,1747,2451,1068,1220,1517,2126,1529,929,0,2159,1793,1263,2025,503,1746,702,1629,2064,1628,1366,1949
42,Сарыагаш (эксп.),2098,1513,1677,956,1292,131,1668,1690,653,2420,2266,1820,1950,2222,1783,2044,2152,1973,1306,999,2322,2379,1753,1464,1450,1427,1964,2213,2199,2167,1560,2100,1856,2094,1091,1599,2016,1769,2028,2082,2159,0,1026,1981,2134,1656,413,2117,530,95,1191,1865,210
43,Сексеул,1072,1705,651,1720,2056,895,1328,664,1417,1394,1240,2014,1610,1196,1443,1379,1410,2071,966,1763,1580,1353,727,438,1110,1087,1598,1187,1859,1141,712,2195,830,1068,1181,573,2208,743,2220,1742,1793,1026,0,2076,1108,1316,1177,1091,1294,931,165,2057,974
