Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Литовской ж.д. (код дороги 12),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 12-001 ""ЙОНИШКИС (ЭКСП.) - ШЯУЛЯЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
 13.,106807 .,Лауксаргяй, 121  км ,  27  км ,,,,,,,,,,,
 14.,106811 .,ОП Камщяй, 127  км ,  21  км ,,,,,,,,,,,
 15.,106830 .,ОП Гудай, 137  км ,  11  км ,,,,,,,,,,,
 16.,107000 .,Пагегяй, 143  км ,   5  км ,,,,,,,,,,,
 17.,107903 .,Пагегяй (эксп.), 148  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 22) участок 12-025 ""ТУРМАНТАС (ЭКСП.) - ШВЯНЧЕНЕЛЯЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Турмантас (эксп.),до ст. Швянченеляй,,,,,,,,,,,
  1.,129207 .,Турмантас (эксп.),   0  км ,  71  км ,,,,,,,,,,,
  2.,129103 .,Турмантас,   1  км ,  70  км ,,,,,,,,,,,
  3.,128929 .,ОП Висагинас,  11  км ,  60  км ,,,,,,,,,,,
  4.,129118 .,ОП Гярконис,  18  км ,  53  км ,,,,,,,,,,,
  5.,128906 .,Дукштас,  23  км ,  48  км ,,,,,,,,,,,
  6.,128914 .,ОП Лобиняй,  38  км ,  33  км ,,,,,,,,,,,
  7.,128609 .,Игналина,  48  км ,  23  км ,,,,,,,,,,,
  8.,128613 .,ОП Пакрятуоне,  59  км ,  12  км ,,,,,,,,,,,
  9.,128505 .,Швянченеляй,  71  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 23) участок 12-026 ""КИРТИМАЙ - ЛЯНТВАРИС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Киртимай,до ст. Лянтварис,,,,,,,,,,,
  1.,120700 .,Киртимай,   0  км ,  24  км ,,,,,,,,,,,
  2.,121008 .,Вайдотай,  11  км ,  13  км ,,,,,,,,,,,
  3.,120908 .,Лянтварис,  24  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 24) участок 12-027 ""ШВЯНЧЕНЕЛЯЙ - ВИЛЬНЮС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Швянченеляй,до ст. Вильнюс,,,,,,,,,,,
  1.,128505 .,Швянченеляй,   0  км ,  78  км ,,,,,,,,,,,
  2.,128543 .,ОП Жеймяна,  10  км ,  68  км ,,,,,,,,,,,
  3.,128401 .,Пабраде,  27  км ,  51  км ,,,,,,,,,,,
  4.,128562 .,ОП Паилгис,  36  км ,  42  км ,,,,,,,,,,,
  5.,128444 .,ОП Сантака,  39  км ,  39  км ,,,,,,,,,,,
  6.,128308 .,Скярсабаляй,  46  км ,  32  км ,,,,,,,,,,,
  7.,128204 .,Бяздонис,  52  км ,  26  км ,,,,,,,,,,,
  8.,128454 .,ОП Мицкунай,  62  км ,  16  км ,,,,,,,,,,,
  9.,120402 .,Науйойи-Вильня,  69  км ,   9  км ,,,,,,,,,,,
 10.,128469 .,ОП Павильнис,  73  км ,   5  км ,,,,,,,,,,,
 11.,120005 .,Вильнюс,  78  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 25) участок 12-030 ""НАУЙОЙИ-ВИЛЬНЯ - КЯНА (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Науйойи-Вильня,до ст. Кяна (эксп.),до ст. Вильнюс,,,,,,,,,,
  1.,120402 .,Науйойи-Вильня,   0  км ,  27  км ,   9  км ,,,,,,,,,,
  2.,120414 .,Кивишкес,   8  км ,  19  км ,  17  км ,,,,,,,,,,
  3.,120429 .,ОП Пакяне,  14  км ,  13  км ,  23  км ,,,,,,,,,,
  4.,120306 .,Кяна,  20  км ,   7  км ,  29  км ,,,,,,,,,,
  5.,120448 .,ОП Шумскас (оп),  25  км ,   2  км ,  34  км ,,,,,,,,,,
  6.,120202 .,Кяна (эксп.),  27  км ,   0  км ,  36  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 26) участок 12-031 ""ВИЛЬНЮС - СТАСИЛОС (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Вильнюс,до ст. Стасилос (эксп.),,,,,,,,,,,
  1.,120005 .,Вильнюс,   0  км ,  50  км ,,,,,,,,,,,
  2.,120325 .,ОП Оро Уостас,   4  км ,  46  км ,,,,,,,,,,,
  3.,120700 .,Киртимай,   6  км ,  44  км ,,,,,,,,,,,
  4.,120611 .,ОП Юодшиляй,  11  км ,  39  км ,,,,,,,,,,,
  5.,120607 .,Вальчюнай,  13  км ,  37  км ,,,,,,,,,,,
  6.,120541 .,ОП Парудаминис,  18  км ,  32  км ,,,,,,,,,,,
  7.,120537 .,ОП Тяряшишкес,  23  км ,  27  км ,,,,,,,,,,,
  8.,120503 .,Яшюнай,  27  км ,  23  км ,,,,,,,,,,,
  9.,120522 .,ОП Кидарай,  34  км ,  16  км ,,,,,,,,,,,
 10.,121120 .,ОП Сяносиос Стасилос,  40  км ,  10  км ,,,,,,,,,,,
 11.,120518 .,Стасилос,  44  км ,   6  км ,,,,,,,,,,,
 12.,121101 .,Стасилос (эксп.),  50  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 27) участок 12-032 ""ВИЛЬНЮС - ЛЯНТВАРИС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Вильнюс,до ст. Лянтварис,,,,,,,,,,,
  1.,120005 .,Вильнюс,   0  км ,  18  км ,,,,,,,,,,,
  2.,120804 .,Паняряй,   9  км ,   9  км ,,,,,,,,,,,
  3.,120819 .,ОП Воке,  13  км ,   5  км ,,,,,,,,,,,
  4.,120908 .,Лянтварис,  18  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 28) участок 12-033 ""ЛЯНТВАРИС - СЯНОВЕ (ОП)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лянтварис,до ст. Сянове (оп),,,,,,,,,,,
  1.,120908 .,Лянтварис,   0  км ,  97  км ,,,,,,,,,,,
  2.,122509 .,Сянейи Тракай,   6  км ,  91  км ,,,,,,,,,,,
  3.,122424 .,ОП Мишкиняй,   9  км ,  88  км ,,,,,,,,,,,
  4.,122418 .,ОП Шклеряй,  15  км ,  82  км ,,,,,,,,,,,
  5.,122405 .,Рудишкес,  21  км ,  76  км ,,,,,,,,,,,
