Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Горьковской ж.д. (код дороги 24),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 24-001 ""ПЕТУШКИ - ВЛАДИМИР"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Петушки,до ст. Владимир,,,,,,,,,,,
  8.,273751 .,ОП ЧУВАШИ,  54  км , 192  км ,,,,,,,,,,,
  9.,273732 .,Ардаши,  61  км , 185  км ,,,,,,,,,,,
 10.,273747 .,ОП Береговой,  65  км , 181  км ,,,,,,,,,,,
 11.,273770 .,ОП Рехино,  73  км , 173  км ,,,,,,,,,,,
 12.,273910 .,ОП Кордяга,  83  км , 163  км ,,,,,,,,,,,
 13.,274006 .,Зуевка,  92  км , 154  км ,,,,,,,,,,,
 14.,274082 .,Коса, 102  км , 144  км ,,,,,,,,,,,
 15.,274114 .,ОП Черноус, 109  км , 137  км ,,,,,,,,,,,
 16.,274129 .,ОП Леваны, 116  км , 130  км ,,,,,,,,,,,
 17.,274203 .,Фаленки, 124  км , 122  км ,,,,,,,,,,,
 18.,274218 .,ОП Князи, 134  км , 112  км ,,,,,,,,,,,
 19.,274222 .,ОП Сада, 140  км , 106  км ,,,,,,,,,,,
 20.,274237 .,ОП Бачумово, 148  км ,  98  км ,,,,,,,,,,,
 21.,274307 .,Яр, 158  км ,  88  км ,,,,,,,,,,,
 22.,274311 .,ОП Дизьмино, 163  км ,  83  км ,,,,,,,,,,,
 23.,274326 .,ОП Балышур, 166  км ,  80  км ,,,,,,,,,,,
 24.,275530 .,Кожиль, 174  км ,  72  км ,,,,,,,,,,,
 25.,275634 .,ОП КУЗЬМИНКА, 180  км ,  66  км ,,,,,,,,,,,
 26.,275620 .,ОП ЛОКОМОТИВ, 182  км ,  64  км ,,,,,,,,,,,
 27.,275615 .,ОП Убыть, 185  км ,  61  км ,,,,,,,,,,,
 28.,275704 .,Глазов, 195  км ,  51  км ,,,,,,,,,,,
 29.,275738 .,ОП КАЧКАШУР, 202  км ,  44  км ,,,,,,,,,,,
 30.,275719 .,ОП Безум, 206  км ,  40  км ,,,,,,,,,,,
 31.,275742 .,ОП ОКТЯБРЬСКИЙ, 210  км ,  36  км ,,,,,,,,,,,
 32.,275723 .,ОП Туктым, 213  км ,  33  км ,,,,,,,,,,,
 33.,275757 .,ОП КЕСТЫМ, 218  км ,  28  км ,,,,,,,,,,,
 34.,275808 .,Балезино, 224  км ,  22  км ,,,,,,,,,,,
 35.,275827 .,Шур (обп), 240  км ,   6  км ,,,,,,,,,,,
 36.,275901 .,Пибаньшур, 246  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 24-009 ""ЧЕРУСТИ (Московской ж.д.) - НЕЧАЕВСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Черусти,до ст. Нечаевская,,,,,,,,,,,
  1.,233106 .,Черусти,   0  км ,  40  км ,,,,,,,,,,,
  2.,242720 .,ОП Струя,   7  км ,  33  км ,,,,,,,,,,,
  3.,242715 .,ОП Тасин,  13  км ,  27  км ,,,,,,,,,,,
  4.,242823 .,Ильичев,  20  км ,  20  км ,,,,,,,,,,,
  5.,242838 .,Торфопродукт,  27  км ,  13  км ,,,,,,,,,,,
  6.,242819 .,ОП Мильцево,  32  км ,   8  км ,,,,,,,,,,,
  7.,242912 .,Нечаевская,  40  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 24-010 ""НЕЧАЕВСКАЯ - МУРОМ I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Нечаевская,до ст. Муром I,,,,,,,,,,,
  1.,242912 .,Нечаевская,   0  км ,  91  км ,,,,,,,,,,,
  2.,241604 .,Вековка,  12  км ,  79  км ,,,,,,,,,,,
  3.,243008 .,Заколпье,  23  км ,  68  км ,,,,,,,,,,,
  4.,243012 .,ОП Золотковский,  30  км ,  61  км ,,,,,,,,,,,
  5.,243116 .,ОП ГЕОРГИЕВО,  35  км ,  56  км ,,,,,,,,,,,
  6.,243205 .,Алферово,  39  км ,  52  км ,,,,,,,,,,,
  7.,243309 .,Добрятино,  46  км ,  45  км ,,,,,,,,,,,
  8.,243313 .,ОП Максимовский,  52  км ,  39  км ,,,,,,,,,,,
  9.,243506 .,Бутылицы,  58  км ,  33  км ,,,,,,,,,,,
 10.,243510 .,ОП Зимницы,  63  км ,  28  км ,,,,,,,,,,,
 11.,243525 .,ОП Левино,  66  км ,  25  км ,,,,,,,,,,,
 12.,243530 .,Кондаково,  70  км ,  21  км ,,,,,,,,,,,
 13.,243544 .,ОП Папулино,  73  км ,  18  км ,,,,,,,,,,,
 14.,243559 .,ОП Амосово,  76  км ,  15  км ,,,,,,,,,,,
 15.,243563 .,ОП Просинское,  78  км ,  13  км ,,,,,,,,,,,
 16.,243578 .,ОП Стригино,  83  км ,   8  км ,,,,,,,,,,,
 17.,243582 .,ОП Кольдино,  85  км ,   6  км ,,,,,,,,,,,
 18.,240048 .,ОП Платформа 284 км,  89  км ,   2  км ,,,,,,,,,,,
 19.,240000 .,Муром I,  91  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 24-011 ""МУРОМ I - АРЗАМАС II"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Муром I,до ст. Арзамас II,,,,,,,,,,,
  1.,240000 .,Муром I,   0  км , 123  км ,,,,,,,,,,,
  2.,240029 .,ОП Городская,   4  км , 119  км ,,,,,,,,,,,
  3.,240033 .,ОП Приокский,   8  км , 115  км ,,,,,,,,,,,
  4.,243607 .,Навашино,  12  км , 111  км ,,,,,,,,,,,
  5.,243614 .,ОП ЗАРМАТОВСКОЕ,  19  км , 104  км ,,,,,,,,,,,
  6.,243629 .,Велетьма,  22  км , 101  км ,,,,,,,,,,,
  7.,243633 .,ОП Сонино,  28  км ,  95  км ,,,,,,,,,,,
  8.,243648 .,Родяково,  33  км ,  90  км ,,,,,,,,,,,
  9.,243718 .,ОП Ост. Пункт 324 км,  36  км ,  87  км ,,,,,,,,,,,
 10.,243722 .,ОП Валтово,  38  км ,  85  км ,,,,,,,,,,,
 11.,243737 .,ОП Степурино,  44  км ,  79  км ,,,,,,,,,,,
 12.,243783 .,Теша,  53  км ,  70  км ,,,,,,,,,,,
 13.,243811 .,ОП Вердеевка,  57  км ,  66  км ,,,,,,,,,,,
 14.,243826 .,Венец,  64  км ,  59  км ,,,,,,,,,,,
 15.,243915 .,ОП Саконы,  72  км ,  51  км ,,,,,,,,,,,
 16.,244000 .,Мухтолово,  79  км ,  44  км ,,,,,,,,,,,
 17.,244015 .,ОП Личадеево,  83  км ,  40  км ,,,,,,,,,,,
 18.,244021 .,Балахониха,  90  км ,  33  км ,,,,,,,,,,,
 19.,244034 .,ОП Маяк,  95  км ,  28  км ,,,,,,,,,,,
 20.,244049 .,ОП КОТИКА,  98  км ,  25  км ,,,,,,,,,,,
 21.,244157 .,ОП Костылиха, 102  км ,  21  км ,,,,,,,,,,,
 22.,244119 .,ОП Шумлейка, 108  км ,  15  км ,,,,,,,,,,,
 23.,244123 .,ОП Слезавка, 113  км ,  10  км ,,,,,,,,,,,
 24.,244138 .,Разъезд 408 км, 120  км ,   3  км ,,,,,,,,,,,
 25.,244142 .,ОП ЛАМПОВЫЙ, 121  км ,   2  км ,,,,,,,,,,,
 26.,244208 .,Арзамас II, 123  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 24-012 ""АРЗАМАС II - КАНАШ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Арзамас II,до ст. Канаш,,,,,,,,,,,
  1.,244208 .,Арзамас II,   0  км , 255  км ,,,,,,,,,,,
  2.,244212 .,Трактовый-Арзамасский (обп),  10  км , 245  км ,,,,,,,,,,,
  3.,244227 .,ОП Щедровка,  18  км , 237  км ,,,,,,,,,,,
  4.,244301 .,Бобыльская,  27  км , 228  км ,,,,,,,,,,,
  5.,244405 .,Вадок,  32  км , 223  км ,,,,,,,,,,,
  6.,244417 .,ОП Ревезень,  38  км , 217  км ,,,,,,,,,,,
  7.,244602 .,Перевозская,  50  км , 205  км ,,,,,,,,,,,
  8.,244617 .,ОП Кемары,  63  км , 192  км ,,,,,,,,,,,
  9.,244706 .,Смагино,  72  км , 183  км ,,,,,,,,,,,
 10.,244710 .,Каменище,  81  км , 174  км ,,,,,,,,,,,
 11.,244814 .,ОП Камкино,  94  км , 161  км ,,,,,,,,,,,
 12.,244903 .,Тарталей, 105  км , 150  км ,,,,,,,,,,,
 13.,245003 .,Сергач, 114  км , 141  км ,,,,,,,,,,,
 14.,245018 .,ОП Ачка, 123  км , 132  км ,,,,,,,,,,,
 15.,245022 .,ОП Ост. Пункт 538 км, 127  км , 128  км ,,,,,,,,,,,
 16.,245037 .,Андосово (обп), 134  км , 121  км ,,,,,,,,,,,
 17.,245041 .,ОП Юморга, 140  км , 115  км ,,,,,,,,,,,
 18.,245107 .,Пильна, 145  км , 110  км ,,,,,,,,,,,
 19.,245227 .,Княжиха, 154  км , 101  км ,,,,,,,,,,,
 20.,245215 .,ОП Кумашка, 166  км ,  89  км ,,,,,,,,,,,
 21.,245304 .,Шумерля, 178  км ,  77  км ,,,,,,,,,,,
 22.,245319 .,ОП Мыслец, 188  км ,  67  км ,,,,,,,,,,,
 23.,245412 .,ОП КОМИНТЕРН, 193  км ,  62  км ,,,,,,,,,,,
 24.,245427 .,ОП Пинер, 197  км ,  58  км ,,,,,,,,,,,
 25.,245431 .,ОП КИБЕРЛИ, 203  км ,  52  км ,,,,,,,,,,,
 26.,245446 .,ОП Чаркли, 208  км ,  47  км ,,,,,,,,,,,
 27.,245450 .,ОП БУРТАСЫ, 212  км ,  43  км ,,,,,,,,,,,
 28.,245501 .,Вурнары, 217  км ,  38  км ,,,,,,,,,,,
