Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
"АЛФАВИТНЫЙ СПИСОК РАЗДЕЛЬНЫХ ПУНКТОВ (станций, разъездов, постов, блокпостов и обгонных пунктов)",,,,,
№ п/п,Наименование пункта,Операции,Дорога,Транзитные пукты и расстояния до них,Код станции
 8555.,Сахалинка,О 3,83 З-Сиб (Р),873308 Тайга - 215км,875305
 8556.,Саханская,"Б 1,3",17 Моск (Р),"200002 Брянск-Льговский - 117км, 216000 Орел - 16км",216301
 8557.,Сахареж (рзд),О,28 Сев (Р),"310005 Ярославль-Главный - 47км, 315507 Нерехта - 8км",315418
 8558.,Сахарная,О 3,40 Од (У),"410006 Знаменка - 11км, 414100 Долинская - 69км",413707
 8559.,Сахарозаводской,О,63 Кбш (Р),"652000 Карламан - 6км, 812503 Сакмарская - 313км",652284
 8560.,Сахновщина,"П 1,3,11н",43 Южн (У),"441606 Красноград - 47км, 442806 Лозовая - 48км",442505
 8561.,Сахра,О,75 Трк,,751723
 8562.,Сахтыш,О 3,28 Сев (Р),"237331 Бельково - 147км, 318609 Иваново-Сортировочное - 42км",318007
 8563.,Сачхере,"1,3",57 Грз,"560101 Тбилиси-Узловая - 238км, 570008 Самтредиа - 110км",576502
 8564.,Саяк,"П 1,3",68 Кзх,"677309 Мойынты - 338км, 708009 Актогай - 186км, 708507 Достык (эксп.) - 495км",677703
 8565.,Саянская,"П 1,3",88 Крас (Р),ТП,889100
 8566.,Саянтуй,Б 1,92 В-Сиб (Р),"935703 Заудинский - 28км, 937304 Наушки (эксп. КЖД) - 225км",935900
 8567.,Саят,П,75 Трк,"750006 Туркменабад I - 53км, 751309 Мары - 274км",759405
 8568.,Сбега,"П 1,3",94 Заб (Р),"943108 Карымская - 465км, 951602 Бамовская - 516км",950506
 8569.,Сборная,"Б 1,3",48 Дон (У),"506001 Родаково - 13км, 508505 Семейкино-Новое - 52км",505901
 8570.,Сборная,"Б 1,3",84 84-я дорога,"848505 Родаково - 13км, 849705 Семейкино-Новое - 52км",848401
 8571.,Сборная-Угольная,"О 1,2,3,5,8,8н,",17 Моск (Р),226303 Новомосковская II - 12км,225705
,,"10,10н,11,11н,12,12н",,,
 8572.,Свалява,"П 1,3",35 Льв (У),"377408 Стрый - 123км, 382501 Батево - 52км",383608
 8573.,Сватово,"П,Т 1,3",48 Дон (У),"497813 Венгеровка - 95км, 430002 Купянск-Сортировочный - 58км",499005
 8574.,Сватово,"П 1,3",84 84-я дорога,838541 Венгеровка - 95км,839506
 8575.,Свеженькая,П 3,17 Моск (Р),"222209 Кустаревка - 32км, 632401 Вернадовка - 96км",222406
 8576.,Свекловичная,П 3,58 Ю-Вост (Р),"436400 Готня - 7км, 436608 Илек-Пеньковка (эксп.) - 19км",436701
 8577.,Свень,О 3,17 Моск (Р),"200002 Брянск-Льговский - 4км, 202008 Унеча - 127км",201306
 8578.,Сверково,Б,13 Бел,"155004 Жлобин - 20км, 156505 Могилев II - 104км",155841
 8579.,Свеса,"Б 1,3",32 Ю-Зап (У),"328704 Хутор-Михайловский - 11км, 329800 Эсмань - 18км",329904
 8580.,Светик,Б,28 Сев (Р),"280204 Котлас-Узловой - 95км, 282407 Микунь - 137км",281329
 8581.,Светланово,Б 3,48 Дон (У),497813 Венгеровка - 5км,497601
 8582.,Светланово,Б 3,84 84-я дорога,"848505 Родаково - 53км, 838541 Венгеровка - 5км",838503
 8583.,Светловодск,О 3,43 Южн (У),425001 Кременчуг - 30км,428005
 8584.,Светлогорск I,Б,10 Клг (Р),100001 Калининград-Сортировочный - 43км,103813
 8585.,Светлогорск-на-Березине,"Б 1,3",13 Бел,"153808 Калинковичи - 62км, 155004 Жлобин - 39км",154209
 8586.,Светлоград,"П 1,3,4,8н,10н,",51 С-Кав (Р),"520009 Кавказская - 222км, 537601 Прохладная - 303км",527402
,,"11н,12н",,,
 8587.,Светлодарское,О 3,48 Дон (У),496007 Попасная - 32км,494209
 8588.,Светлодарское,О 3,89 89-я дорога,958207 Никитовка - 21км,958508
 8589.,Светлодолинская,П,45 Придн (У),"476304 Федоровка - 17км, 477423 Верхний Токмак II - 72км",477104
 8590.,Светлое Озеро (рзд),О,63 Кбш (Р),"254905 Агрыз - 189км, 647523 Акбаш - 112км",648039
 8591.,Светлополянск,Б 3,24 Горьк (Р),"273408 Поздино - 314км, 275901 Пибаньшур - 244км",275403
 8592.,Световская,О,83 З-Сиб (Р),"835558 Осолодино (обп) - 183км, 840804 Среднесибирская - 207км",836438
 8593.,Светогорск,"Б 1,2,3,4,10н",01 Окт (Р),"020004 Выборг - 66км, 021901 Светогорск (эксп.) - 1км, 022404 Хийтола - 79км",021806
 8594.,Светогорск (эксп.),,01 Окт (Р),ТП,021901
 8595.,Светотехника,"О 1,3,6",24 Горьк (Р),"247009 Красный Узел - 107км, 248105 Канаш - 134км",247507
 8596.,Свеча,П 3,28 Сев (Р),"267801 Котельнич I - 52км, 306006 Галич - 317км",308407
 8597.,Свинковка,Б,43 Южн (У),"448709 Полтава-Южная - 9км, 449608 Люботин - 107км",448840
 8598.,Свири,Х,57 Грз,"570008 Самтредиа - 48км, 577204 Хашури - 76км",575798
 8599.,Свирь,"Б 1,3",01 Окт (Р),"010002 Петрозаводск - 115км, 049106 Лодейное Поле - 45км",049407
 8600.,Свирь (перев.),,01 Окт (Р),"010002 Петрозаводск - 115км, 049106 Лодейное Поле - 45км",048300
 8601.,Свислочь,"Б 1,3,4,10н",13 Бел,ТП,135602
 8602.,Свислочь (эксп.),,13 Бел,ТП,135706
 8603.,Свиягино,"Б 1,3",96 Д-Вост (Р),"970406 Хабаровск I - 492км, 974801 Сибирцево - 94км",974106
 8604.,Свияжск,"Б 1,3",24 Горьк (Р),ТП,249004
 8605.,Свобода,"Б 1,3",17 Моск (Р),"208201 Курск - 23км, 216000 Орел - 131км",217408
 8606.,Свободный,П,94 Заб (Р),"950008 Белогорск - 58км, 951602 Бамовская - 534км",953627
 8607.,Свольно (рзд),О,13 Бел,"161306 Полоцк - 52км, 161401 Бигосово (эксп.) - 33км",161819
 8608.,Святогорск,"Б 1,3",48 Дон (У),ТП,490208
 8609.,Святогорск,"Б 1,3",89 89-я дорога,ТП,929204
 8610.,Святославка,П 3,58 Ю-Вост (Р),"605300 Балашов I - 33км, 621801 Петров Вал - 217км",606604
 8611.,Святошино,Б 3,32 Ю-Зап (У),"320505 Киев-Волынский - 6км, 346308 Коростень - 144км",322407
 8612.,Сгибеево,О,94 Заб (Р),"943108 Карымская - 899км, 951602 Бамовская - 82км",951316
 8613.,Себедахово,П,51 С-Кав (Р),"516200 Тимашевская - 94км, 521603 Крымская - 26км",522023
 8614.,Себеж,"Б 1,2,3,4,9",01 Окт (Р),"065908 Посинь (рзд) (эксп.) - 23км, 066602 Новосокольники - 111км",066101
 8615.,Себряково,"П 1,2,3,4,5,11н,",61 Прив (Р),"584405 Поворино - 157км, 614206 Иловля I - 117км",613608
,,12н,,,
 8616.,Севан,"Б 1,2,3,4,5,8,9",56 Ю-Кав,567400 Масис - 106км,568900
 8617.,Севастополь,"П,Г,Т",45 Придн (У),473202 Инкерман I - 8км,473306
 8618.,Севастополь,П,85 Крым (Р),858009 Инкерман I - 8км,857701
 8619.,Севастополь-Товарный,"1,3,4,5,8",45 Придн (У),473202 Инкерман I - 21км,473005
 8620.,Севастополь-Товарный,"1,2,3,4,5,8,9",85 Крым (Р),858009 Инкерман I - 21км,858303
 8621.,Севастополь-Товарный,,45 Придн (У),,473402
,(эксп.),,,,
 8622.,Севастополь-Товарный,,85 Крым (Р),,858403
,(эксп.),,,,
 8623.,Северка,Б 3,76 Сверд (Р),"780001 Екатеринбург-Сортировочный - 11км, 782702 Кузино - 67км",780105
 8624.,Северная,"О 3,8н,10н,11н,",17 Моск (Р),"224308 Узловая II - 10км, 226303 Новомосковская II - 6км",226407
,,12н,,,
 8625.,Северный Пост (п),О,17 Моск (Р),"202008 Унеча - 4км, 202807 Сураж (эксп.) - 40км",203034
 8626.,Северобайкальск,"П 1,3,8",92 В-Сиб (Р),"917103 Новый Ургал - 2236км, 927105 Лена - 343км",903204
 8627.,Северодвинск,"П 1,2,3,4,8н",28 Сев (Р),"290507 Архангельск-Город - 63км, 295002 Обозерская - 168км",290206
 8628.,Северомуйск,Б 3,92 В-Сиб (Р),"917103 Новый Ургал - 1916км, 927105 Лена - 663км",905708
 8629.,Северск,"П 1,3",48 Дон (У),ТП,495004
 8630.,Северск,"П 1,3",89 89-я дорога,ТП,959002
 8631.,Северская,П 1,51 С-Кав (Р),"521603 Крымская - 55км, 524404 Краснодар I - 31км",523904
 8632.,Сегачама,О,94 Заб (Р),"943108 Карымская - 843км, 951602 Бамовская - 138км",951373
 8633.,Сегежа,"Б 1,2,3,8н,10н,",01 Окт (Р),"010002 Петрозаводск - 263км, 013000 Беломорск - 109км",011804
,,"11н,12н",,,
 8634.,Седельниково,Б,76 Сверд (Р),"780001 Екатеринбург-Сортировочный - 58км, 782505 Дружинино - 101км, 795100",780923
,,,,               Каменск-Уральский - 94км,
 8635.,Седловой,О,94 Заб (Р),"943108 Карымская - 36км, 944702 Борзя - 211км",943339
 8636.,Седневка,П,40 Од (У),"411901 Помошная - 107км, 414100 Долинская - 26км",414149
 8637.,Седьвож,О,28 Сев (Р),285801 Сосногорск - 73км,286910
 8638.,Сейда,Б,28 Сев (Р),285801 Сосногорск - 623км,289054
 8639.,Сейди,"П 1,3",75 Трк,"750006 Туркменабад I - 74км, 758008 Газоджак (эксп.) - 251км",757401
 8640.,Сейма,"Б 1,3",24 Горьк (Р),"260003 Нижний Новгород-Сортировочный - 43км, 263105 Ковров I - 135км",264502
 8641.,Сеймская,3,17 Моск (Р),"206206 Льгов-Киевский - 61км, 207105 Глушково (эксп.) - 59км",207505
 8642.,Секретев (пп),О,61 Прив (Р),"588302 Морозовская - 72км, 611000 Им. Максима Горького - 144км",614916
 8643.,Сексеул,"П 1,3,4",68 Кзх,ТП,670102
 8644.,Сектали (рзд),О,96 Д-Вост (Р),960007 Комсомольск-Сортировочный - 299км,918619
 8645.,Секша (рзд),Б,28 Сев (Р),"304606 Буй - 34км, 311101 Данилов - 59км",304324
 8646.,Селезни,"П 3,8н,10н,11н,",58 Ю-Вост (Р),"600006 Кочетовка I - 53км, 601403 Тамбов I - 22км",601308
,,12н,,,
 8647.,Селекционная,Б,68 Кзх,"682203 Золотая Сопка (эксп.) - 40км, 684001 Костанай - 126км",684815
 8648.,Селенга,"П 1,3,6,8н,10н,",92 В-Сиб (Р),"930108 Иркутск-Пассажирский - 376км, 935506 Улан-Удэ - 80км",934908
,,11н,,,
 8649.,Селендума,П 3,92 В-Сиб (Р),"935703 Заудинский - 178км, 937304 Наушки (эксп. КЖД) - 75км",936509
 8650.,Селеткан,О,94 Заб (Р),"951602 Бамовская - 468км, 950008 Белогорск - 124км",953222
 8651.,Селеты,О,68 Кзх,693405 Ерейментау - 81км,693424
 8652.,Селещина,"Б 1,3,8н,11н",43 Южн (У),"441606 Красноград - 58км, 448709 Полтава-Южная - 23км",441305
 8653.,Селиваново,"Б 1,3",24 Горьк (Р),"240000 Муром I - 48км, 263105 Ковров I - 63км",240300
 8654.,Селигдар (рзд),Х,91 Якут (Р),"910000 Тында - 476км, 917103 Новый Ургал - 1373км",913916
 8655.,Селидовка,О,48 Дон (У),482004 Покровск - 24км,481302
 8656.,Селидовка,О,89 89-я дорога,"898006 Покровск - 24км, 897304 Рутченково - 56км",897817
 8657.,Селижарово,"Б 1,3",01 Окт (Р),"064106 Торжок - 112км, 068107 Соблаго - 53км",068501
 8658.,Селикса,"Б 1,3",63 Кбш (Р),"630105 Пенза I - 13км, 635448 Новообразцовое - 231км",633705
 8659.,Селихин,"Б 1,2,3",96 Д-Вост (Р),"960007 Комсомольск-Сортировочный - 71км, 967600 Ванино - 382км",966006
 8660.,Село-Каменка,О,32 Ю-Зап (У),"340000 Шепетовка - 8км, 350002 Здолбунов - 65км",340034
 8661.,Селпилс,О,09 Лат,"091809 Елгава - 120км, 114201 Крустпилс - 18км",091917
 8662.,Сельгон,П,96 Д-Вост (Р),"960007 Комсомольск-Сортировочный - 168км, 963807 Волочаевка II - 162км",964528
 8663.,Селькупская (стр),Б 3,76 Сверд (Р),,799703
 8664.,Сельский (рзд),О,48 Дон (У),"500908 Должанская - 66км, 503107 Чернухино - 48км",502345
 8665.,Сельский (рзд),О,84 84-я дорога,"839703 Должанская - 66км, 848011 Чернухино - 48км",847536
 8666.,Сельцо,П 3,17 Моск (Р),"177408 Рославль I - 108км, 200106 Брянск-Орловский - 25км",179009
 8667.,Сельцо,3,32 Ю-Зап (У),"340000 Шепетовка - 44км, 350002 Здолбунов - 47км",340807
 8668.,Селэгвож,О 3,28 Сев (Р),282407 Микунь - 140км,283400
 8669.,Селянка,О,76 Сверд (Р),"760604 Левшино - 80км, 766108 Калино - 19км",766038
 8670.,Селятино,"О К1н,К2н,1,3,",17 Моск (Р),"180010 Бекасово I - 13км, 197907 Москва-Сортировочная-Киевская - 45км",181102
,,"8н,10н,11н,12н",,,
 8671.,Семей,"П 3,5,8н,10н",68 Кзх,ТП,709406
 8672.,Семей-Грузовой,"3,6,8н,10н",68 Кзх,709406 Семей - 10км,709508
 8673.,Семейкино,"Б 1,3",48 Дон (У),"506001 Родаково - 58км, 508505 Семейкино-Новое - 7км",505102
 8674.,Семейкино,"Б 1,3",84 84-я дорога,"848505 Родаково - 58км, 849705 Семейкино-Новое - 7км",848204
 8675.,Семейкино-Новое,О 3,48 Дон (У),ТП,508505
 8676.,Семейкино-Новое,О 3,84 84-я дорога,ТП,849705
 8677.,Семеник,"Б 1,3",75 Трк,"751309 Мары - 21км, 756206 Серхетабат (эксп.) - 301км",755103
 8678.,Семенов,"П 1,3,4,5",24 Горьк (Р),"260003 Нижний Новгород-Сортировочный - 78км, 267801 Котельнич I - 300км",265806
 8679.,Семеновка,"Б 1,3",32 Ю-Зап (У),328704 Хутор-Михайловский - 145км,339709
 8680.,Семеновский (рзд),О,61 Прив (Р),"620508 Саратов II-Товарный - 154км, 621801 Петров Вал - 47км",621619
 8681.,Семибратово,"Б 1,3",28 Сев (Р),"237007 Александров - 127км, 310005 Ярославль-Главный - 43км",314400
 8682.,Семиглавый Мар,"Б 1,3,4",68 Кзх,"664900 Семиглавый Мар (эксп.) - 12км, 666501 Илецк I (эксп.) - 369км",665000
 8683.,Семиглавый Мар (эксп.),,68 Кзх,ТП,664900
 8684.,Семигородняя,П 3,28 Сев (Р),"293007 Коноша I - 138км, 300107 Вологда I - 73км",301006
 8685.,Семигорск,Б 3,92 В-Сиб (Р),"920002 Тайшет - 610км, 927105 Лена - 110км",926704
 8686.,Семиозерный,О 3,94 Заб (Р),"943108 Карымская - 663км, 951602 Бамовская - 318км",951000
 8687.,Семисточный,Б 3,96 Д-Вост (Р),"961604 Известковая - 81км, 963506 Волочаевка I - 159км",962607
 8688.,Семичная,Б,51 С-Кав (Р),"519105 Куберле - 86км, 611405 Волгоград II - 208км",519425
 8689.,Семлево,"О 1,3",17 Моск (Р),"170466 Духовская - 136км, 174306 Вязьма - 23км",173604
 8690.,Семрино,"Б 3,8н,10н",01 Окт (Р),"032508 Павловск - 19км, 058302 Батецкая - 102км",059108
 8691.,Семь Колодезей,"Б 1,3",45 Придн (У),"471103 Керчь - 54км, 479904 Владиславовка - 36км",471508
 8692.,Семь Колодезей,"Б 1,3",85 Крым (Р),"867309 Керчь - 54км, 868301 Владиславовка - 36км",868208
 8693.,Сенаки,"Б 1,3",57 Грз,ТП,571903
 8694.,Сенаки (эксп.),П 3,57 Грз,,571833
 8695.,Сенгос,Б,28 Сев (Р),"280204 Котлас-Узловой - 76км, 293007 Коноша I - 287км",298985
 8696.,Сендега,3,28 Сев (Р),"306006 Галич - 119км, 315507 Нерехта - 53км",305204
 8697.,Сенкевичевка,П 3,35 Льв (У),"359007 Киверцы - 56км, 370909 Сапежанка - 86км",357506
 8698.,Сенкевичи (рзд),Б,13 Бел,"139406 Лунинец - 32км, 153808 Калинковичи - 145км",151925
 8699.,Сенная,П 3,61 Прив (Р),ТП,624000
 8700.,Сенозавод (рзд),О,13 Бел,"150000 Гомель - 38км, 153808 Калинковичи - 87км",154815
 8701.,Сентяновка,"П 1,3",48 Дон (У),"497813 Венгеровка - 33км, 506001 Родаково - 25км",496900
 8702.,Сентяновка,"П 1,3",84 84-я дорога,"848505 Родаково - 25км, 838541 Венгеровка - 33км",838401
 8703.,Сенцово,Б 3,58 Ю-Вост (Р),"591907 Грязи-Воронежские - 50км, 593000 Елец - 65км",592609
 8704.,Сенча,"П 1,3",43 Южн (У),"326003 Бахмач-Пассажирский - 155км, 427308 Ромодан - 25км",427204
 8705.,Сербиновцы,Б,32 Ю-Зап (У),"330009 Жмеринка - 20км, 330600 Гречаны - 86км",331158
 8706.,Сербка,П,40 Од (У),"401100 Черноморская - 24км, 412707 Колосовка - 52км",401435
 8707.,Сергач,"П 1,3",24 Горьк (Р),"244208 Арзамас II - 114км, 248105 Канаш - 141км",245003
 8708.,Сергеево-Сахалинское,О,96 Д-Вост (Р),"990005 Корсаков - 242км, 993304 Холмск - 63км",994420
 8709.,Сергели,"О 1,3,8,8н,10,",73 Узбк,"722400 Ташкент - 19км, 725803 Хаваст - 148км",723507
,,10н,,,
 8710.,Сергиев Посад,"Б 1,2,3,4,8,10,",17 Моск (Р),"195406 Лосиноостровская - 60км, 236324 Пут. пост 81 км - 10км",236305
,,10н,,,
 8711.,Сергино,Б 3,76 Сверд (Р),777117 Ивдель II (пп) - 371км,779305
 8712.,Сергунта,Х,09 Лат,"110107 Даугавпилс-Шкирошанас - 39км, 114201 Крустпилс - 50км",114324
 8713.,Сердитая,О 3,48 Дон (У),"487807 Иловайск - 34км, 503107 Чернухино - 52км",489408
 8714.,Сердитая,О 3,89 89-я дорога,"901707 Иловайск - 34км, 848011 Чернухино - 52км",928803
 8715.,Сердобск,"Б 1,2,3,5",58 Ю-Вост (Р),"607607 Ртищево I - 47км, 630105 Пенза I - 112км",607804
 8716.,Сердце,О,01 Окт (Р),"063006 Ржев-Балтийский - 231км, 066008 Великие Луки - 10км",065823
 8717.,Сердюковка,Б 3,40 Од (У),"411901 Помошная - 107км, 420008 Им. Тараса Шевченко - 22км",423307
 8718.,Серебристый (рзд),О,61 Прив (Р),"627206 Ершов - 101км, 628508 Озинки (эксп.) - 33км",628336
 8719.,Серебрянка,"О 1,3",01 Окт (Р),"070605 Псков-Пассажирский - 114км, 072009 Луга I - 23км",071805
 8720.,Серебряные Пруды,"П 1,3,4",17 Моск (Р),"228239 Мшанка - 76км, 228900 Узуново - 13км",228807
 8721.,Серебряный Бор,Х,17 Моск (Р),000015 Московский узел - 54км,198616
 8722.,Сереж (рзд),О,88 Крас (Р),"880002 Ачинск I - 73км, 887675 Тигей - 362км",884037
 8723.,Сережа,"Б 1,3",24 Горьк (Р),"244208 Арзамас II - 23км, 264926 Окская - 72км",268700
 8724.,Серменево,Б,63 Кбш (Р),"652000 Карламан - 175км, 816203 Карталы I - 277км",654218
 8725.,Серные Воды I,Б 3,63 Кбш (Р),"651506 Чишмы - 479км, 657305 Кинель - 120км",658806
 8726.,Серные Воды II,О,63 Кбш (Р),"651506 Чишмы - 483км, 657305 Кинель - 124км",658914
 8727.,Серов,"П 1,3,8,10,11,",76 Сверд (Р),"772607 Гороблагодатская - 206км, 774706 Серов-Сортировочный - 8км",774405
,,12,,,
 8728.,Серов-Заводской,Б 3,76 Сверд (Р),"772607 Гороблагодатская - 203км, 774706 Серов-Сортировочный - 5км",774602
 8729.,Серов-Сортировочный,"Б 3,8н,10н",76 Сверд (Р),ТП,774706
 8730.,Сероглазово,Б 3,61 Прив (Р),"617505 Аксарайская - 48км, 618207 Верхний Баскунчак - 149км",617702
 8731.,Серогозы,"Б 1,3",40 Од (У),416106 Снигиревка - 143км,417109
 8732.,Серозак (обп),Х,80 Ю-Ур (Р),"801104 Чурилово - 27км, 801405 Электростанция - 27км, 804600 Еманжелинск - 41км,",800313
,,,,               804808 Полетаево I - 15км,
 8733.,Серпухов,"Б 1,3,5",17 Моск (Р),"190609 Столбовая - 35км, 210201 Тула I-Курская - 95км",190205
 8734.,Серпухов-Ветка,"1,3",17 Моск (Р),"190609 Столбовая - 41км, 210201 Тула I-Курская - 101км",190309
 8735.,Серхетабат,"П 1,2,3,4,6,9",75 Трк,756206 Серхетабат (эксп.) - 7км,756106
 8736.,Серхетабат (эксп.),,75 Трк,ТП,756206
 8737.,Серхетяка,"П 1,3",75 Трк,"752800 Ашгабат - 758км, 754609 Туркменбаши I (эксп.) - 709км, 758101 Дашогуз - 1252км",756303
 8738.,Серхетяка (эксп.),,75 Трк,ТП,756407
 8739.,Серышево,"П 1,3,5",94 Заб (Р),"950008 Белогорск - 20км, 951602 Бамовская - 572км",954102
 8740.,Сестреновка,Б,32 Ю-Зап (У),"342701 Казатин I - 5км, 343507 Фастов I - 88км",342720
 8741.,Сестрорецк,Б,01 Окт (Р),"038215 Ланская - 30км, 039208 Белоостров - 7км",039053
 8742.,Сети (рзд),"О 1,3",96 Д-Вост (Р),"910000 Тында - 20км, 951602 Бамовская - 160км",910208
 8743.,Сетово,Б 3,76 Сверд (Р),790408 Войновка - 178км,795904
 8744.,Сеце,О,09 Лат,"091809 Елгава - 105км, 114201 Крустпилс - 33км",091936
 8745.,Сечуга,"О 3,8н,10н",24 Горьк (Р),"244208 Арзамас II - 39км, 264926 Окская - 56км",268804
 8746.,Сещинская,"Б 1,3",17 Моск (Р),"177408 Рославль I - 40км, 200106 Брянск-Орловский - 93км",178307
 8747.,Сеятель,"Б 3,8н,10н,11н,",83 З-Сиб (Р),"840804 Среднесибирская - 144км, 850007 Инская - 17км",853306
,,12н,,,
 8748.,Сиазань,П 3,55 Азерб,"546808 Баладжары - 87км, 547508 Ялама (эксп.) - 105км",545909
 8749.,Сибай,"П 2,3,5,11н",80 Ю-Ур (Р),"652000 Карламан - 405км, 816203 Карталы I - 251км",818302
 8750.,Сибирская,Б 3,83 З-Сиб (Р),"840804 Среднесибирская - 155км, 850007 Инская - 6км",850401
 8751.,Сибирцево,"П 1,3",96 Д-Вост (Р),ТП,974801
 8752.,Сиваки,Б 3,94 Заб (Р),"950008 Белогорск - 239км, 951602 Бамовская - 353км",953006
 8753.,Сиваш,П,45 Придн (У),"470007 Джанкой - 30км, 476304 Федоровка - 147км",475301
 8754.,Сиваш,П,82 82-я дорога,822308 Федоровка - 147км,821521
 8755.,Сиваш (стык),,82 82-я дорога,ТП,822702
 8756.,Сивая Маска,П 3,28 Сев (Р),285801 Сосногорск - 569км,289001
 8757.,Сиверская,"Б 1,3,4",01 Окт (Р),"034026 Гатчина-Варшавская - 23км, 072009 Луга I - 70км",072507
 8758.,Сивыс-Ях,Х,76 Сверд (Р),790408 Войновка - 531км,796724
 8759.,Сиг,О,01 Окт (Р),"013000 Беломорск - 136км, 014906 Кандалакша - 247км",013528
 8760.,Сигнаевка,О 3,40 Од (У),"421104 Христиновка - 137км, 422605 Цветково - 11км",422107
 8761.,Сигулда,О,09 Лат,"095000 Земитаны - 49км, 111307 Иерики - 21км",095119
 8762.,Сидорково,Б,01 Окт (Р),"050009 Бологое-Московское - 124км, 051106 Сонково - 69км",051835
 8763.,Силава,О,09 Лат,110107 Даугавпилс-Шкирошанас - 36км,110516
 8764.,Силикатная,"О К2н,3,5,8,8н,",17 Моск (Р),"190008 Люблино-Сортировочное - 27км, 190609 Столбовая - 26км",191000
,,"10н,11н,12н",,,
 8765.,Силинка (рзд),О,96 Д-Вост (Р),960007 Комсомольск-Сортировочный - 25км,960419
 8766.,Силинский (рзд),О,76 Сверд (Р),790408 Войновка - 707км,797322
 8767.,Сильницы,О 3,28 Сев (Р),"237007 Александров - 79км, 310005 Ярославль-Главный - 91км",314006
 8768.,Симаково,О,96 Д-Вост (Р),"990005 Корсаков - 296км, 993304 Холмск - 9км",994010
 8769.,Симанщина,"Б 1,3",63 Кбш (Р),"630105 Пенза I - 45км, 632401 Вернадовка - 173км",633508
 8770.,Симонята,3,76 Сверд (Р),"275901 Пибаньшур - 181км, 760008 Пермь-Сортировочная - 49км",762709
 8771.,Симская,Б,63 Кбш (Р),"654504 Уфа - 138км, 806606 Бердяуш - 131км",656266
 8772.,Симферополь,"П,Г,М,Т 3",45 Придн (У),"473503 Мекензиевы Горы - 59км, 474101 Остряково - 19км",473908
 8773.,Симферополь,П 3,85 Крым (Р),"857400 Мекензиевы Горы - 59км, 856709 Остряково - 19км",856906
 8774.,Симферополь-Грузовой,"О 1,3,5,8",45 Придн (У),"473503 Мекензиевы Горы - 67км, 474101 Остряково - 11км",474008
 8775.,Симферополь-Грузовой,"О 1,3,5,8",85 Крым (Р),"857400 Мекензиевы Горы - 67км, 856709 Остряково - 11км",856802
 8776.,Синарский (пут.пост),О,76 Сверд (Р),"795100 Каменск-Уральский - 31км, 801104 Чурилово - 121км",795435
 8777.,Синдор,Б 3,28 Сев (Р),"282407 Микунь - 113км, 285801 Сосногорск - 142км",284900
 8778.,Синеглазово,П 3,80 Ю-Ур (Р),"800008 Челябинск-Главный - 11км, 804600 Еманжелинск - 31км, 804808 Полетаево I - 37км",800506
 8779.,Синезерки,О,17 Моск (Р),"200002 Брянск-Льговский - 21км, 203803 Навля - 24км",203848
 8780.,Синельниково I,П 3,45 Придн (У),453500 Синельниково II - 3км,453603
 8781.,Синельниково II,"П 1,3",45 Придн (У),ТП,453500
 8782.,Синявская,Б,51 С-Кав (Р),"510204 Ростов-Главный - 40км, 511404 Марцево - 30км",511353
 8783.,Синячиха,"О 1,3",76 Сверд (Р),"774706 Серов-Сортировочный - 231км, 786506 Алапаевск - 10км",786703
 8784.,Синяя Гора,Б 3,45 Придн (У),"463003 Пологи - 29км, 477608 Верхний Токмак I - 9км",462706
 8785.,Сионитный,О 3,48 Дон (У),"484601 Мариуполь-Порт - 42км, 486202 Волноваха - 52км",485801
 8786.,Сионитный,О 3,89 89-я дорога,"899600 Мариуполь-Порт - 42км, 900704 Волноваха - 52км",900403
 8787.,Сипавские Пруды,О,76 Сверд (Р),"795100 Каменск-Уральский - 25км, 801104 Чурилово - 127км",795420
 8788.,Сипотень (рзд),П,39 Млд,"391207 Кишинэу - 61км, 392005 Унгень - 46км",391712
 8789.,Сирень,Б,45 Придн (У),"473503 Мекензиевы Горы - 19км, 474101 Остряково - 59км",473537
 8790.,Сирень,О,76 Сверд (Р),"785908 Егоршино - 47км, 793209 Богданович - 23км",784638
 8791.,Сирень,Б,85 Крым (Р),"857400 Мекензиевы Горы - 19км, 856709 Остряково - 59км",857222
 8792.,Ситал-Чай,"О 1,3",55 Азерб,"546808 Баладжары - 57км, 547508 Ялама (эксп.) - 135км",546102
 8793.,Ситковцы,Б 3,32 Ю-Зап (У),"335801 Винница - 88км, 409206 Зятковцы - 43км",336503
 8794.,Ситница,О 3,13 Бел,"139406 Лунинец - 42км, 153808 Калинковичи - 135км",152006
 8795.,Сиуч,О,01 Окт (Р),"046803 Подборовье - 88км, 302304 Череповец I - 92км",046249
 8796.,Сифонная,Б,48 Дон (У),"497813 Венгеровка - 24км, 506001 Родаково - 34км",497404
 8797.,Сифонная,Б,84 84-я дорога,"848505 Родаково - 34км, 838541 Венгеровка - 24км",838429
 8798.,Сихов,Б 3,35 Льв (У),"370006 Львов - 12км, 379104 Ходоров - 52км",378703
 8799.,Сия,О 3,28 Сев (Р),290507 Архангельск-Город - 150км,291406
 8800.,Скайста,О,09 Лат,110107 Даугавпилс-Шкирошанас - 57км,110520
